layer,cos_leak,gamma_leak,angle_deg,norm_source,norm_target
0,0.6754172227383879,0.6333613875540409,47.51344166946241,0.014690541662275791,0.0156660508364439
1,0.7064999252560926,0.691920089551157,45.04915153017857,0.28920111060142517,0.29529502987861633
2,0.6816105274430302,0.6640157065994822,47.0303761117133,0.3991466164588928,0.40972304344177246
3,0.7168342467329419,0.677368341329631,44.20627528819251,0.5469438433647156,0.5788107514381409
4,0.7583607350034625,0.755122770875344,40.680103746231794,0.7677439451217651,0.7710360288619995
5,0.809393416737306,0.8044150030264975,35.963291137856146,1.0176643133163452,1.0239624977111816
6,0.8200961716356165,0.8321591233946425,34.9055779395017,1.129859209060669,1.113480806350708
7,0.8349103402174344,0.8289844561879005,33.39349664092324,1.3519256114959717,1.3615896701812744
8,0.8706416986897613,0.886019425404049,29.466705144753835,1.8837380409240723,1.851043939590454
9,0.8766532670774851,0.878410440208522,28.758752807724623,2.197421073913574,2.1930253505706787
10,0.8837859600325549,0.9114213272362145,27.897510592956056,2.4899463653564453,2.4144482612609863
11,0.9046671270274269,0.9582194134028788,25.221512081462876,2.8710973262786865,2.710639476776123
12,0.9061326220876401,0.9421163636243619,25.02373715745309,2.8932390213012695,2.7827329635620117
13,0.9060936104944034,0.9396822841280524,25.02902087416779,3.043311357498169,2.9345290660858154
14,0.9035266036269983,0.931734952720291,25.374433307811287,3.292215347290039,3.1925432682037354
15,0.8971330586034564,0.9248844905510349,26.21625737470249,3.829566240310669,3.7146589756011963
16,0.9010451467551576,0.9696252510122656,25.704211000733213,4.497973918914795,4.179839134216309
17,0.896189182912529,0.9955557941768766,26.338412525346957,4.748483657836914,4.274536609649658
18,0.904246774096929,1.0040467838167195,25.277973506759437,5.096078872680664,4.589540004730225
19,0.9065510233622215,1.024090805663582,24.967003255315067,6.27935266494751,5.55864143371582
20,0.9015630507157835,0.9858099884388146,25.63571000639587,8.183067321777344,7.483745574951172
21,0.900223559697108,0.9859822195756501,25.812531262461455,9.728206634521484,8.882067680358887
22,0.8966767610363371,0.9969900641622911,26.275376673031513,11.514337539672852,10.355809211730957
23,0.8985848391874887,1.0069479167939386,26.027330326004563,13.946114540100098,12.445298194885254
24,0.8955113668440566,0.9860254391491868,26.425811022744345,16.43735122680664,14.92845344543457
25,0.9004388782533302,0.9936006928654869,25.7841840781243,19.41065788269043,17.590679168701172
26,0.8969697917816186,0.9924410735730143,26.2374249387704,22.08063507080078,19.956512451171875
27,0.8949101030524047,0.9805754849162078,26.503114844353263,25.776655197143555,23.52474594116211
28,0.8402265153964629,0.914304947589375,32.83595317882335,25.521013259887695,23.45326042175293
