layer,cos_leak,gamma_leak,angle_deg,norm_source,norm_target
0,0.6754172227383879,0.6333613875540409,47.51344166946241,0.014690541662275791,0.0156660508364439
1,0.7064999252560926,0.691920089551157,45.04915153017857,0.28920111060142517,0.29529502987861633
2,0.6816105274430302,0.6640157065994822,47.0303761117133,0.3991466164588928,0.40972304344177246
3,0.7168342467329419,0.677368341329631,44.20627528819251,0.5469438433647156,0.5788107514381409
4,0.7583607350034625,0.755122770875344,40.680103746231794,0.7677439451217651,0.7710360288619995
5,0.809393416737306,0.8044150030264975,35.963291137856146,1.0176643133163452,1.0239624977111816
6,0.8200961716356165,0.8321591233946425,34.9055779395017,1.129859209060669,1.113480806350708
7,0.8349103402174344,0.8289844561879005,33.39349664092324,1.3519256114959717,1.3615896701812744
8,0.8706416986897613,0.886019425404049,29.466705144753835,1.8837380409240723,1.851043939590454
9,0.8766532670774851,0.878410440208522,28.758752807724623,2.197421073913574,2.1930253505706787
10,0.8837859600325549,0.9114213272362145,27.897510592956056,2.4899463653564453,2.4144482612609863
11,0.9046671270274269,0.9582194134028788,25.221512081462876,2.8710973262786865,2.710639476776123
12,0.9061326220876401,0.9421163636243619,25.02373715745309,2.8932390213012695,2.7827329635620117
13,0.9060936104944034,0.9396822841280524,25.02902087416779,3.043311357498169,2.9345290660858154
14,0.9035266036269983,0.931734952720291,25.374433307811287,3.292215347290039,3.1925432682037354
15,0.8971330586034564,0.9248844905510349,26.21625737470249,3.829566240310669,3.7146589756011963
16,0.9010451467551576,0.9696252510122656,25.704211000733213,4.497973918914795,4.179839134216309
17,0.896189182912529,0.9955557941768766,26.338412525346957,4.748483657836914,4.274536609649658
18,0.904246774096929,1.0040467838167195,25.277973506759437,5.096078872680664,4.589540004730225
19,0.9065510233622215,1.024090805663582,24.967003255315067,6.27935266494751,5.55864143371582
20,0.9187102082949526,1.0117147145708516,23.261754347842363,10.04644775390625,9.122901916503906
21,0.9218967666394219,1.0042187620265792,22.79502936299917,12.254626274108887,11.250039100646973
22,0.9202296416418801,1.0095451353466633,23.040322908383406,14.28748607635498,13.023457527160645
23,0.9240088954047109,1.026215922102318,22.48062373683911,17.39147186279297,15.659350395202637
24,0.9217621039594841,1.0134117829962153,22.814935678348427,20.339889526367188,18.500415802001953
25,0.9277166710419307,1.0254982121350482,21.918362164716367,24.198612213134766,21.891267776489258
26,0.9255243969111723,1.0259676655307686,22.25243714409776,27.620676040649414,24.916584014892578
27,0.9233264488140318,1.0162049361046552,22.582664355224647,32.229454040527344,29.28376579284668
28,0.8752266736879961,0.9768289729883116,28.92818625783574,32.166927337646484,28.821168899536133
