layer,effrank_tauU_A,effrank_tauA_A,effrank_tauA_B,effrank_tauU_B,effrank_R_A,effrank_R_B
1,275.7041931152344,237.8564453125,277.2741394042969,240.759033203125,277.8802185058594,278.94146728515625
2,272.91473388671875,230.95713806152344,274.9023742675781,234.8995361328125,275.3145446777344,276.9732360839844
3,275.97552490234375,233.68605041503906,277.4974060058594,237.65780639648438,278.907958984375,280.2572326660156
4,275.9523620605469,234.62315368652344,277.8570251464844,238.14639282226562,278.6751708984375,280.3782043457031
5,276.54315185546875,233.8332977294922,278.2951354980469,237.39707946777344,279.93548583984375,281.25994873046875
6,276.0052795410156,233.01197814941406,278.0256042480469,236.50595092773438,279.6911926269531,281.050537109375
7,273.1877746582031,228.2086181640625,275.288818359375,232.02896118164062,277.1330871582031,278.47564697265625
8,273.1701965332031,228.00076293945312,275.8081970214844,231.9225616455078,277.9024658203125,279.3719482421875
9,274.61138916015625,230.3617706298828,277.0089111328125,234.528076171875,279.6578369140625,280.8868408203125
10,272.4410705566406,225.85577392578125,275.2782897949219,230.78099060058594,278.645263671875,279.7015686035156
11,268.5450134277344,222.56900024414062,271.9881896972656,227.48936462402344,275.81817626953125,277.21795654296875
12,268.7735595703125,221.94775390625,272.1307678222656,227.0323944091797,275.7929382324219,277.2771911621094
13,268.2381286621094,221.82427978515625,271.7961730957031,226.77293395996094,275.63897705078125,277.148681640625
14,268.89007568359375,223.45513916015625,272.7071228027344,228.0273895263672,276.6778259277344,278.00506591796875
15,266.5803527832031,218.23301696777344,270.7676696777344,224.28619384765625,275.62518310546875,277.1744689941406
16,263.6378479003906,212.48521423339844,268.345458984375,219.5704345703125,274.1101989746094,275.4798583984375
17,265.14971923828125,215.35888671875,270.12725830078125,222.08811950683594,275.7118225097656,277.0085144042969
18,264.8704528808594,214.26431274414062,270.1357421875,220.63560485839844,275.75860595703125,277.1698303222656
19,261.75103759765625,209.98545837402344,267.88507080078125,215.62008666992188,274.3179626464844,275.97540283203125
20,253.9847869873047,192.46914672851562,261.31280517578125,200.79591369628906,272.4856262207031,274.2996520996094
21,254.26300048828125,191.35728454589844,261.63311767578125,199.009033203125,273.1905212402344,274.6466064453125
22,256.6462097167969,195.54978942871094,263.95245361328125,202.3863067626953,274.496826171875,276.18011474609375
23,258.0218505859375,198.21304321289062,265.903564453125,204.41452026367188,276.0558166503906,277.9568176269531
24,260.2270202636719,197.9348907470703,267.73016357421875,204.8064422607422,277.8282775878906,279.6004943847656
25,259.69512939453125,198.26588439941406,267.6414489746094,204.83242797851562,277.76324462890625,279.99835205078125
26,261.2057800292969,200.82711791992188,269.1781921386719,206.88229370117188,278.9324035644531,281.1895446777344
27,261.08624267578125,202.2250213623047,269.1304626464844,207.64080810546875,279.16168212890625,281.4449768066406
