layer,cos_instruct,gamma_instruct,cos_base,gamma_base,delta_cos,delta_gamma
1,0.7065000904956952,0.6919202502024793,0.44984440562926725,0.24496995072666472,0.2566556848664279,0.44695029947581455
2,0.6816104040684964,0.6640155362122285,0.4271235862750494,0.20828994599109218,0.25448681779344695,0.45572559022113635
3,0.7168345124091439,0.6773688011444411,0.42237470186474785,0.20580990118385104,0.294459810544396,0.4715588999605901
4,0.7583605936241201,0.7551227468361243,0.4392320017220755,0.20701337556138538,0.3191285919020446,0.5481093712747389
5,0.8093934092298427,0.8044148076874669,0.48826175364362273,0.22610560851437753,0.32113165558622,0.5783091991730893
6,0.8200960031158063,0.8321587729116743,0.45194727512854055,0.21444137078101538,0.3681487279872658,0.6177174021306588
7,0.8349103162939224,0.8289841416115084,0.48369873170574096,0.21501753422403336,0.35121158458818147,0.613966607387475
8,0.8706415855954927,0.8860193683250345,0.5476571756624806,0.26809975457511126,0.32298440993301203,0.6179196137499232
9,0.8766532532433998,0.8784102357285721,0.5640109911818185,0.2732152954576862,0.3126422620615813,0.6051949402708859
10,0.8837860309467671,0.9114216648423573,0.5798994268509973,0.30212529909091035,0.30388660409576984,0.609296365751447
11,0.9046671968258511,0.9582194076369489,0.6343544843567414,0.3374977780297682,0.2703127124691097,0.6207216296071807
12,0.9061325083014924,0.9421163197892417,0.6160943907029466,0.32285131875424455,0.2900381175985458,0.6192650010349972
13,0.9060937526768442,0.9396825841965002,0.6257521973419002,0.33257403257386975,0.280341555334944,0.6071085516226304
14,0.9035265736094344,0.9317348542296814,0.6416159750457078,0.34053586189690205,0.26191059856372667,0.5911989923327794
15,0.8971330845803983,0.9248844561337527,0.6770277442528108,0.38515612007713207,0.22010534032758755,0.5397283360566206
16,0.9010451417343869,0.9696251348694427,0.6789764204638387,0.3779937430744246,0.22206872127054822,0.591631391795018
17,0.8961893652805887,0.9955559855026097,0.6823650155768144,0.39103866925435254,0.21382434970377429,0.6045173162482571
18,0.9042466767908479,1.004046571284151,0.6672562712902761,0.3700541669741877,0.23699040550057182,0.6339924043099634
19,0.9065510205473563,1.024090802310339,0.6626072757194177,0.34711381460998614,0.24394374482793857,0.6769769877003529
20,0.9187101232313013,1.011714620805114,0.6803397109832022,0.3470277969763084,0.23837041224809907,0.6646868238288055
21,0.9218967097949514,1.004218700039436,0.6820964239998811,0.34206028058624666,0.2398002857950703,0.6621584194531893
22,0.9202295729546147,1.0095449860030623,0.6936971298794048,0.35406815193814234,0.22653244307520992,0.65547683406492
23,0.9240088943172708,1.0262159208334927,0.7241501307533623,0.3730522228777512,0.19985876356390853,0.6531636979557415
24,0.9217620944382324,1.0134115729696378,0.7178762781462957,0.36505603808570575,0.2038858162919367,0.648355534883932
25,0.9277165971291239,1.0254982112195454,0.7356500193134641,0.37562045549179196,0.19206657781565983,0.6498777557277535
26,0.92552432536979,1.0259675076494479,0.7433147417723043,0.38200643569850823,0.18220958359748574,0.6439610719509397
27,0.9233265083613393,1.0162050678000631,0.7582932409447238,0.38587414160226696,0.1650332674166155,0.6303309261977962
