layer,cos_leak,cos_lo,cos_hi,gamma_leak,gamma_lo,gamma_hi
1,0.7065000904956952,0.5981197357177734,0.7052566409111023,0.6919202502024793,0.5656797885894775,0.7074299454689026
2,0.6816104040684964,0.5605484843254089,0.6899328231811523,0.6640155362122285,0.5316086411476135,0.6888967752456665
3,0.7168345124091439,0.6076276302337646,0.7193402051925659,0.6773688011444411,0.5566118955612183,0.7041391134262085
4,0.7583605936241201,0.6574665307998657,0.7474017143249512,0.7551227468361243,0.6291936039924622,0.7705683708190918
5,0.8093934092298427,0.7236049175262451,0.7946704626083374,0.8044148076874669,0.6818733811378479,0.8238239884376526
6,0.8200960031158063,0.738038957118988,0.8063330054283142,0.8321587729116743,0.7169545292854309,0.853061854839325
7,0.8349103162939224,0.7578161358833313,0.8223223686218262,0.8289841416115084,0.7138559222221375,0.8555095791816711
8,0.8706415855954927,0.80056232213974,0.8574235439300537,0.8860193683250345,0.7759067416191101,0.9158617854118347
9,0.8766532532433998,0.8136765360832214,0.8618677258491516,0.8784102357285721,0.7767098546028137,0.9063652157783508
10,0.8837860309467671,0.8247870206832886,0.8728229999542236,0.9114216648423573,0.8037674427032471,0.9493637681007385
11,0.9046671968258511,0.85479736328125,0.8933334946632385,0.9582194076369489,0.8495651483535767,0.9974817037582397
12,0.9061325083014924,0.8542673587799072,0.8950247764587402,0.9421163197892417,0.8369037508964539,0.9853956699371338
13,0.9060937526768442,0.8567378520965576,0.8956155180931091,0.9396825841965002,0.8333522081375122,0.9855263233184814
14,0.9035265736094344,0.85573410987854,0.8942981362342834,0.9317348542296814,0.8331187963485718,0.9710375666618347
15,0.8971330845803983,0.8577379584312439,0.8893094062805176,0.9248844561337527,0.834978461265564,0.9660740494728088
16,0.9010451417343869,0.8662839531898499,0.8951045870780945,0.9696251348694427,0.8840801119804382,1.013399362564087
17,0.8961893652805887,0.8617829084396362,0.8903983235359192,0.9955559855026097,0.9045867323875427,1.0366508960723877
18,0.9042466767908479,0.8701156377792358,0.8991460800170898,1.004046571284151,0.9116121530532837,1.0475136041641235
19,0.9065510205473563,0.8771432042121887,0.9033148288726807,1.024090802310339,0.941225528717041,1.0706045627593994
20,0.9187101232313013,0.900969386100769,0.918249785900116,1.011714620805114,0.9415754675865173,1.059435248374939
21,0.9218967097949514,0.9041143655776978,0.9213164448738098,1.004218700039436,0.9340841174125671,1.0544970035552979
22,0.9202295729546147,0.8998873829841614,0.9194470643997192,1.0095449860030623,0.9325463175773621,1.0666648149490356
23,0.9240088943172708,0.9035378694534302,0.9233388304710388,1.0262159208334927,0.9475845694541931,1.0831531286239624
24,0.9217620944382324,0.9009578824043274,0.9208362102508545,1.0134115729696378,0.936572790145874,1.0710725784301758
25,0.9277165971291239,0.9083245396614075,0.9264459609985352,1.0254982112195454,0.9515339732170105,1.082916021347046
26,0.92552432536979,0.9050912857055664,0.9247202277183533,1.0259675076494479,0.9473483562469482,1.0831838846206665
27,0.9233265083613393,0.902611494064331,0.9229187369346619,1.0162050678000631,0.9376792907714844,1.0733453035354614
