layer,effrank_tauU_A,effrank_tauA_A,effrank_tauA_B,effrank_tauU_B,effrank_R_A,effrank_R_B
1,260.3561096191406,220.76779174804688,246.8863983154297,237.50680541992188,260.5069885253906,251.8071746826172
2,255.3574981689453,211.8531036376953,240.2878875732422,229.69947814941406,255.20181274414062,246.11474609375
3,257.1505432128906,212.29360961914062,241.3619384765625,230.72201538085938,257.482421875,247.5472412109375
4,257.70928955078125,214.43112182617188,240.93670654296875,230.51846313476562,257.9106750488281,246.44390869140625
5,258.1018371582031,213.04493713378906,240.33888244628906,229.76806640625,258.4075012207031,246.8544921875
6,256.9105529785156,212.62843322753906,239.37620544433594,228.6298065185547,257.4114685058594,245.6102752685547
7,252.16043090820312,207.41360473632812,233.50047302246094,222.51084899902344,252.66305541992188,240.11837768554688
8,254.3010711669922,209.002197265625,236.89456176757812,225.82379150390625,255.30416870117188,243.2391815185547
9,255.42825317382812,210.21217346191406,237.48619079589844,226.8607635498047,256.94842529296875,244.36195373535156
10,254.70045471191406,209.32933044433594,236.8494873046875,226.2010955810547,256.5509033203125,244.05406188964844
11,251.84031677246094,206.60694885253906,234.05929565429688,223.37789916992188,253.7238006591797,241.5279541015625
12,251.30374145507812,205.650390625,233.60560607910156,222.52401733398438,253.16632080078125,241.03897094726562
13,251.37493896484375,206.30982971191406,233.9168243408203,223.3406219482422,253.40811157226562,241.67311096191406
14,253.29588317871094,209.5994110107422,235.77146911621094,225.6769561767578,255.30441284179688,243.74842834472656
15,252.13507080078125,206.31947326660156,235.04531860351562,224.38609313964844,254.66244506835938,243.8014373779297
16,247.89535522460938,199.70668029785156,229.39366149902344,218.1529083251953,250.83815002441406,238.8959197998047
17,248.84861755371094,201.41078186035156,230.8192901611328,219.9732666015625,251.90565490722656,240.09478759765625
18,247.53472900390625,199.17535400390625,229.1499786376953,218.11514282226562,250.42178344726562,238.24191284179688
19,245.2412872314453,195.1378936767578,225.8035430908203,213.82167053222656,248.5879364013672,235.41725158691406
20,238.87290954589844,180.72596740722656,218.59774780273438,204.46043395996094,243.35426330566406,229.3708038330078
21,240.94979858398438,181.94412231445312,220.17990112304688,205.72198486328125,245.50302124023438,231.1667022705078
22,244.66685485839844,187.4212646484375,224.07945251464844,210.13771057128906,249.2581024169922,235.16481018066406
23,246.77340698242188,190.4676055908203,225.93106079101562,213.1125030517578,251.6942138671875,237.94151306152344
24,249.44119262695312,190.7998504638672,228.40892028808594,214.34933471679688,254.2196044921875,240.53538513183594
25,249.06491088867188,191.8404998779297,227.9053192138672,214.86131286621094,254.4143524169922,240.68431091308594
26,250.80072021484375,194.28927612304688,229.97621154785156,216.93487548828125,256.2743225097656,242.98043823242188
27,250.52235412597656,195.58326721191406,228.94639587402344,217.09527587890625,256.5172424316406,242.4741973876953
