layer,cos_leak,cos_lo,cos_hi,gamma_leak,gamma_lo,gamma_hi
1,0.44984440562926725,0.2901601195335388,0.5273473858833313,0.24496995072666472,0.15716174244880676,0.3146510422229767
2,0.4271235862750494,0.24079369008541107,0.5371356010437012,0.20828994599109218,0.11935710906982422,0.28678423166275024
3,0.42237470186474785,0.25931769609451294,0.5219003558158875,0.20580990118385104,0.12803497910499573,0.2768504023551941
4,0.4392320017220755,0.2652016878128052,0.5399014353752136,0.20701337556138538,0.12930241227149963,0.27808311581611633
5,0.48826175364362273,0.3198886215686798,0.5755380392074585,0.22610560851437753,0.14971186220645905,0.2913254499435425
6,0.45194727512854055,0.2875998020172119,0.552511990070343,0.21444137078101538,0.139633908867836,0.2859165668487549
7,0.48369873170574096,0.29990288615226746,0.5928246378898621,0.21501753422403336,0.1327713280916214,0.2941724359989166
8,0.5476571756624806,0.38821136951446533,0.6336630582809448,0.26809975457511126,0.18724733591079712,0.33911454677581787
9,0.5640109911818185,0.40967991948127747,0.6393772959709167,0.2732152954576862,0.1969439685344696,0.3372002840042114
10,0.5798994268509973,0.44653910398483276,0.6501739025115967,0.30212529909091035,0.22545745968818665,0.37068745493888855
11,0.6343544843567414,0.5115350484848022,0.6960214972496033,0.3374977780297682,0.2616024613380432,0.40529322624206543
12,0.6160943907029466,0.4871383309364319,0.6804539561271667,0.32285131875424455,0.24704979360103607,0.3916298747062683
13,0.6257521973419002,0.48578521609306335,0.6871918439865112,0.33257403257386975,0.24940446019172668,0.3948513865470886
14,0.6416159750457078,0.5097830295562744,0.7019397616386414,0.34053586189690205,0.2590968608856201,0.40702584385871887
15,0.6770277442528108,0.5634239315986633,0.7281518578529358,0.38515612007713207,0.30308249592781067,0.4487704038619995
16,0.6789764204638387,0.56242436170578,0.7324454188346863,0.3779937430744246,0.29951661825180054,0.4434233605861664
17,0.6823650155768144,0.5684747099876404,0.7357498407363892,0.39103866925435254,0.30926254391670227,0.45874691009521484
18,0.6672562712902761,0.5541666150093079,0.7278844118118286,0.3700541669741877,0.2932802140712738,0.4377632141113281
19,0.6626072757194177,0.5450277924537659,0.7212695479393005,0.34711381460998614,0.2734389901161194,0.41209524869918823
20,0.6803397109832022,0.5805417895317078,0.7346836924552917,0.3470277969763084,0.2830202281475067,0.40344712138175964
21,0.6820964239998811,0.5827593207359314,0.7334677577018738,0.34206028058624666,0.2807900607585907,0.39779776334762573
22,0.6936971298794048,0.6068816184997559,0.740969181060791,0.35406815193814234,0.29388874769210815,0.40946507453918457
23,0.7241501307533623,0.6430757641792297,0.7668493390083313,0.3730522228777512,0.31565845012664795,0.42844679951667786
24,0.7178762781462957,0.6326004266738892,0.7600589990615845,0.36505603808570575,0.3059571385383606,0.4177689552307129
25,0.7356500193134641,0.6604297757148743,0.775495171546936,0.37562045549179196,0.31704628467559814,0.42740193009376526
26,0.7433147417723043,0.6626995205879211,0.783380925655365,0.38200643569850823,0.3221675753593445,0.43504798412323
27,0.7582932409447238,0.6840941905975342,0.791644811630249,0.38587414160226696,0.3263159692287445,0.43793702125549316
