layer,gamma_mean,gamma_std,gamma_p05,gamma_p95,sign_consistency,n_prompts
1,0.09058983623981476,0.2089233547449112,-0.20717088878154755,0.44550788402557373,0.640625,320
2,0.11689939349889755,0.3666209578514099,-0.451448529958725,0.7389039993286133,0.60625,320
3,0.16369986534118652,0.4542992413043976,-0.5494269132614136,0.9681398272514343,0.6375,320
4,0.23310068249702454,0.6454129219055176,-0.6841830015182495,1.2767013311386108,0.625,320
5,0.33344215154647827,0.8107830882072449,-0.8139581084251404,1.6630150079727173,0.6625,320
6,0.3290102481842041,0.8414082527160645,-0.8090947866439819,1.6928375959396362,0.65,320
7,0.42575716972351074,1.172186255455017,-1.160628080368042,2.2614123821258545,0.653125,320
8,0.6901051998138428,1.3414310216903687,-1.0611767768859863,2.809878349304199,0.721875,320
9,0.8413079977035522,1.542063593864441,-1.350416660308838,3.3086154460906982,0.71875,320
10,1.0035995244979858,1.605292558670044,-1.248059868812561,3.7663280963897705,0.753125,320
11,1.2453105449676514,1.7113029956817627,-1.1944953203201294,4.123440742492676,0.78125,320
12,1.2119665145874023,1.7739230394363403,-1.2236899137496948,4.0871195793151855,0.765625,320
13,1.288513422012329,1.8248311281204224,-1.2065774202346802,4.386961460113525,0.778125,320
14,1.4612312316894531,2.025874376296997,-1.338174819946289,4.939431190490723,0.78125,320
15,1.773810625076294,2.105947732925415,-1.2525230646133423,5.643171787261963,0.821875,320
16,1.9674285650253296,2.3850841522216797,-1.4556515216827393,6.094925403594971,0.81875,320
17,2.09370493888855,2.4540250301361084,-1.584515929222107,6.270391464233398,0.840625,320
18,2.139317035675049,2.658924102783203,-1.9175323247909546,6.735198497772217,0.834375,320
19,2.4923534393310547,3.233745813369751,-2.3151614665985107,7.856121063232422,0.790625,320
20,3.6874852180480957,4.325716018676758,-2.812227964401245,11.859672546386719,0.8375,320
21,4.4058074951171875,5.178583145141602,-2.9453859329223633,13.897940635681152,0.846875,320
22,5.440109729766846,6.233945846557617,-3.196100950241089,16.680986404418945,0.85,320
23,7.116520881652832,7.685891151428223,-3.4560728073120117,20.948562622070312,0.85625,320
24,8.087066650390625,8.815073013305664,-4.19134521484375,23.886837005615234,0.853125,320
25,9.869372367858887,10.258773803710938,-4.6563262939453125,28.727397918701172,0.875,320
26,11.291467666625977,11.526495933532715,-4.581382751464844,31.95781707763672,0.88125,320
27,13.548108100891113,13.417411804199219,-5.242770195007324,38.163978576660156,0.88125,320
