component,interaction_attr,interaction_lo,interaction_hi,ai_effect_attr,user_effect_attr
embed,0.0,0.0,0.0,0.0,0.0
attn_0,-0.00018036505207419395,-0.001138047908898443,0.0007597378804348409,0.013765793526545167,0.02660695626400411
attn_1,0.0008318055188283324,-0.0006685439650027546,0.002319213291775668,0.004465718375286087,3.99356649722904e-05
attn_2,-0.0033769455694709904,-0.005588069278928742,-0.0012911214747873604,-0.0006297931795415934,0.028063150002708426
attn_3,-0.0019917957251891494,-0.003591159093775786,-0.0002612343640066689,0.0024979878799058497,0.009861286322120577
attn_4,-0.011397670285077766,-0.013584374661149923,-0.009305861316533992,-0.01537282306526322,0.03086453852301929
attn_5,-0.0042797233909368515,-0.008529770607128739,0.0002624148270115247,0.007517698220908642,0.042045618407428265
attn_6,-0.0069461544044315815,-0.01031692837132141,-0.0036156145273707812,-0.013576985569670796,0.04868212644942105
attn_7,0.008416733588092029,0.003503272801754065,0.013735630235169083,0.023166903934907168,0.08664247411070392
attn_8,-0.021225212782155722,-0.031316730636172,-0.013039796466182453,0.043886739847948775,0.06313941403641365
attn_9,-0.01748422160744667,-0.032464822242036465,-0.002288796147331597,0.05596299283206463,0.12035615742206573
attn_10,-0.005127894110046327,-0.021382662415271626,0.009359019278781487,-0.16235728148603812,0.03897890559164807
attn_11,-0.0012182537466287613,-0.018177327373996376,0.015919696632772682,0.09215111471712589,0.03196179401129484
attn_12,-0.05439152827602811,-0.06709147265428328,-0.04115029173699442,0.20015823551511858,0.0325669194717193
attn_13,-0.42966249119490385,-0.47026365373749285,-0.38143024558667094,0.023085806984454393,0.311721112113446
attn_14,-0.4839958255761303,-0.5303333672112786,-0.44533777148026277,0.42188539807102643,0.9107905139389914
attn_15,-0.23403902756399475,-0.25655111216765364,-0.20982869339786703,0.49358818399196025,0.3759348786115879
attn_16,-0.1632693354622461,-0.1821759738464607,-0.1438565137985279,0.08067893187399022,0.22994635286158882
attn_17,0.03480442625004798,0.0022565597420907586,0.07077116921427659,0.9824823334929533,0.243530546722468
attn_18,-0.07366987748537213,-0.1009097350644879,-0.0446609461811022,0.6571985794580542,0.8857780577964149
attn_19,0.15349053125828505,0.007125846206326969,0.30389066691568584,2.639362970017828,3.3807487696176395
attn_20,-0.8168368660844862,-0.9216677297226852,-0.7093118534510723,0.9710505057591945,1.5028223514091223
mlp_0,0.0005987300537526608,-0.00036304040113463996,0.0015170101076364515,-0.001815601484850049,-0.007941365474835038
mlp_1,4.292093217372894e-05,-0.0027525125769898295,0.0026606546016409984,0.008146476000547409,-0.012071309611201286
mlp_2,-0.0012295297347009182,-0.0027759528602473438,0.0004096156568266448,0.0028443888295441866,0.0029428417328745127
mlp_3,0.001244403189048171,-0.003057921226718463,0.005416547517233993,0.002963368489872664,-0.006085205764975399
mlp_4,-0.006180820986628532,-0.010907788015902042,-0.0019939067191444356,-0.01898901304230094,0.02706950716674328
mlp_5,0.004864491987973452,-0.0009111885796301066,0.011161551356781273,0.04441541456617415,-0.053329371148720384
mlp_6,0.005347863072529435,0.0005464062327519059,0.010287442474509589,0.03950301819713786,-0.006024587550200522
mlp_7,0.0012293520849198103,-0.0021965636988170445,0.004662058700341729,-0.047183718415908515,-0.03688947332557291
mlp_8,-0.01314727053977549,-0.020704137213760986,-0.0067241094133350995,0.10311072086915374,0.022890658699907362
mlp_9,0.04037729057017714,0.023675217511481605,0.057872623275034125,0.060816365119535476,-0.2184719601063989
mlp_10,0.03705931920558214,0.017402852129453094,0.05669507198253995,0.23780019511468709,0.14231089994427748
mlp_11,-0.04208507633302361,-0.06471177719940897,-0.02015517235267909,-0.14062828820897266,0.03336274327011779
mlp_12,0.0053183976269792765,-0.015212401938333642,0.027326051281124808,-0.13341975527873728,0.07115912796871271
mlp_13,-0.20566737104672939,-0.24149897439638152,-0.17374230588320644,0.3967744763358496,0.2036735283327289
mlp_14,-0.35031687846640125,-0.39743777109979417,-0.30399904984515164,0.018203228915808722,0.026204420224530622
mlp_15,0.016498520388267934,-0.03816069890453946,0.07085630234287234,0.5232615780842025,0.024794009572360665
mlp_16,-0.20725273014977574,-0.2853018672030885,-0.13068937934003771,0.3706536639947444,0.26347151515074074
mlp_17,-0.32335557881742716,-0.39134613625355996,-0.2596087756304769,-0.700509354006499,0.3822569453623146
mlp_18,-1.296267471043393,-1.5626014146022498,-1.0569632454833482,0.3085106253856793,1.83260788267944
mlp_19,-1.685765905189328,-1.9224122120504035,-1.4716961193684255,2.4755124601651914,1.2002864902024157
mlp_20,-0.6902065631002188,-0.9743675142410211,-0.3972593611222692,3.1348979491740465,2.287073913961649
