layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
0,0.0156660508364439,0.0822172611951828,0.021649397909641266,0.22117555330463973,-0.32340243458747864,0.17243024706840515,108.86881503385797,80.0708510809906,0.5530984351511483,1.0454041569368209,0.5530989094732754,1.0454041526313218,0.007001183461397886,0.0037330046761780977,0.008019731380045414,0.020109212026000023,0.8627583974814583,-0.5984990607587461,-0.6799034705548285
1,0.29529502987861633,1.5623576641082764,0.353013813495636,0.19003219102149613,-0.16766449809074402,0.2147148698568344,99.65205571021094,77.60120011068548,0.7995635774737031,1.0485146946113053,0.7995636201953313,1.0485146976636193,0.0591878741979599,0.07579730451107025,0.10763731598854065,0.3362037241458893,0.9070299034029891,-0.5984427483516933,-0.6820772427000436
2,0.40972304344177246,2.36976957321167,0.49963119626045227,0.17975625891910244,-0.19056780636310577,0.2760074734687805,100.98592257536954,73.9779380050581,0.7676146966137335,1.0581921293828558,0.7676147188048582,1.0581921293828558,0.09521361440420151,0.1379019170999527,0.18656592071056366,0.46349161863327026,0.8605669407698514,-0.6283984448222836,-0.7051814100798057
3,0.5788107514381409,3.0905628204345703,0.6321667432785034,0.172281924740917,-0.2686498463153839,0.24419763684272766,105.58394063114925,75.86557847099982,0.7065854671967037,1.04995000695916,0.7065854449576181,1.0499499975987212,0.16983148455619812,0.15437361598014832,0.25342628359794617,0.5791458487510681,0.8392910553043642,-0.636497026296995,-0.6845179464431979
4,0.7710360288619995,4.192334175109863,0.8712307810783386,0.17553209684537097,-0.2594183087348938,0.22221575677394867,105.03554945171105,77.1607915357853,0.7068707356264293,1.046179813896139,0.706870685496077,1.046179813896139,0.22601322829723358,0.19360119104385376,0.3279789984226227,0.8071386814117432,0.8582817824848435,-0.6334503118504199,-0.689309481008877
5,1.0239624977111816,5.140714168548584,1.0402581691741943,0.16874496811491177,-0.2789868116378784,0.21705564856529236,106.19974377535043,77.46384431017854,0.716573304308018,1.0439226679516729,0.716573304308018,1.0439226679516729,0.2902182936668396,0.22579383850097656,0.4101109206676483,0.9560050368309021,0.8445747373615983,-0.6300750603383019,-0.6677968508374585
6,1.113480806350708,5.5223588943481445,1.1335312128067017,0.17081955897444726,-0.3043268024921417,0.22493219375610352,107.71766732547303,77.00110905466252,0.6901931951884885,1.046170061879544,0.6901932192257305,1.0461700657885007,0.3449639081954956,0.25496765971183777,0.47382089495658875,1.029750943183899,0.8252726010234044,-0.6322238494240252,-0.6644039458772756
7,1.3615896701812744,6.798133373260498,1.3496977090835571,0.16540974494400937,-0.2685377895832062,0.2160188853740692,105.57727532691565,77.52469007371013,0.733807568769739,1.042888269451439,0.7338075205440029,1.0428882513951383,0.3624449074268341,0.29156017303466797,0.5337651371955872,1.2396687269210815,0.8436032942313896,-0.6294816307199347,-0.6662657136121903
8,1.851043939590454,8.869263648986816,1.7949367761611938,0.16743332778990466,-0.2338694930076599,0.1951836496591568,103.52499263204406,78.74454790892645,0.7732193703915806,1.0395007245625016,0.773219335599801,1.039500721531648,0.4197809398174286,0.350342333316803,0.6308853030204773,1.6804112195968628,0.8764614763321604,-0.6123035250387335,-0.6546658894682998
9,2.1930253505706787,9.753104209899902,2.021939992904663,0.16925481855668628,-0.23819959163665771,0.17322301864624023,103.78030313358533,80.02473466631724,0.7803831622482625,1.0359112867609366,0.7803831622482625,1.0359112867609366,0.4816253185272217,0.35024648904800415,0.6956208348274231,1.8985131978988647,0.8816388413776227,-0.5962298472885724,-0.6328475524003058
