layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
0,0.0834675282239914,0.014690541662275791,0.02473510056734085,0.251992506332649,0.20467564463615417,-0.024666771292686462,78.1894877421275,91.41344524903738,1.0606543086985847,0.9584694174321534,1.060654300343624,0.9584693879334809,0.0050626653246581554,0.0006101068574935198,0.005067485384643078,0.02421044558286667,0.9580123458861031,0.5266763273559397,0.7006757532482851
1,1.5735161304473877,0.28920111060142517,0.3838115632534027,0.20604928796214003,0.3270600140094757,-0.20438961684703827,70.90957287812557,101.79377014004879,1.0797763665558222,0.7287455232678817,1.0797763725741758,0.7287455900794115,0.12552939355373383,0.07844710350036621,0.1416642963886261,0.3567107021808624,0.8637660689796409,0.6026186171831849,0.6894846864830516
2,2.41711163520813,0.3991466164588928,0.5468665957450867,0.19418197655685915,0.37428000569343567,-0.26992982625961304,68.02018021252044,105.66009114905818,1.0846800902325053,0.6301720060165166,1.084680059626409,0.6301719826337879,0.20468121767044067,0.14761556684970856,0.23835489153862,0.4921890199184418,0.8100298721570588,0.6413224602246113,0.7165411802661688
3,3.188234329223633,0.5469438433647156,0.7039065957069397,0.18845328423372748,0.3755186200141907,-0.2531020939350128,67.94362965783779,104.66115435936227,1.0829079741653522,0.6742622875269135,1.0829079858929653,0.6742623373389872,0.26433005928993225,0.17816023528575897,0.3058162331581116,0.6340039372444153,0.8112483599305246,0.6387989337064268,0.707139085940097
4,4.315768241882324,0.7677439451217651,0.9904022216796875,0.1948263687187315,0.37659981846809387,-0.17358124256134033,67.87677405071568,99.99610576169601,1.0864238339832493,0.7760773500444691,1.0864238339832493,0.7760773500444691,0.37298521399497986,0.17191526293754578,0.4042811989784241,0.9041311740875244,0.8333734711365197,0.613906786514648,0.6979474346204082
5,5.2978949546813965,1.0176643133163452,1.1642770767211914,0.18435058962668924,0.34795427322387695,-0.14639312028884888,69.63775972906858,98.41796002788448,1.0764672049562045,0.8325163016559505,1.076467196461791,0.8325163016559505,0.40511518716812134,0.1704421490430832,0.446275919675827,1.0753505229949951,0.8530753726819396,0.6048311107128262,0.6777278864718435
6,5.694639682769775,1.129859209060669,1.2625670433044434,0.18500509143107954,0.3414720594882965,-0.181357279419899,70.03341471376123,100.44882747576403,1.0757082765739232,0.797341371941889,1.0757082618698521,0.7973413952872959,0.4311313033103943,0.22897572815418243,0.49909311532974243,1.1597332954406738,0.843737498849202,0.6053280616528754,0.6688814137672081
7,7.049142360687256,1.3519256114959717,1.5084894895553589,0.1795592527943501,0.38025107979774475,-0.13681665062904358,67.65076401756721,97.86368113734954,1.0813722789870952,0.8473388745568972,1.0813722981794174,0.8473388745568972,0.5736048221588135,0.2063864767551422,0.6307911276817322,1.3702712059020996,0.8251416032303691,0.609048288667613,0.6781538682074466
8,9.242465019226074,1.8837380409240723,1.9764207601547241,0.17763658884288658,0.3418257534503937,-0.03953847661614418,70.01185206737043,92.26597849754711,1.0730964772097829,0.958516165594875,1.0730964827918423,0.9585161739935174,0.6755915880203247,0.07814468443393707,0.6976293325424194,1.849203109741211,0.8754078062785197,0.5807926284095845,0.6613870816401247
9,10.241358757019043,2.197421073913574,2.2466697692871094,0.18061817943701636,0.3165956437587738,0.006379232741892338,71.54283174411378,89.63449440831138,1.0694523015247168,1.0065222098224993,1.0694522833396491,1.0065221851346347,0.7112858295440674,0.014332041144371033,0.719409167766571,2.1283740997314453,0.8974648471398686,0.5594000415127666,0.646682213687477
10,11.345606803894043,2.4899463653564453,2.3900845050811768,0.17274947189431095,0.2897964417934418,0.07819226384162903,73.1542303157148,85.51533545416794,1.0610490009671643,1.075056277962264,1.0610490046715366,1.075056277962264,0.6926379799842834,0.18688608705997467,0.6945173740386963,2.286951780319214,0.9155614578081407,0.547435707484823,0.6400655126546472
11,11.947328567504883,2.8710973262786865,2.637965440750122,0.1780192753183436,0.2841055989265442,0.12433306872844696,73.49460664194274,82.85775701636858,1.0627304045339576,1.1142372869991553,1.0627303911714345,1.1142372653068588,0.7494606375694275,0.32798632979393005,0.7690363526344299,2.523379325866699,0.915012184195311,0.5159811683321702,0.6124963137217411
12,12.413195610046387,2.8932390213012695,2.721097230911255,0.17777472642523076,0.29895442724227905,0.1152886152267456,72.60518557063091,83.37972779281026,1.0655338137618668,1.1084291763703387,1.0655338261402203,1.1084291692498225,0.8134840130805969,0.3137115240097046,0.8221238851547241,2.5939319133758545,0.9087177754293492,0.525373094405682,0.6219578113265266
13,12.70191478729248,3.043311357498169,2.8390731811523438,0.18031326785919338,0.305042028427124,0.12912575900554657,72.2393075455686,82.58092379434545,1.068181585631266,1.1204600688506843,1.068181573809246,1.1204600817218335,0.8660367727279663,0.3665975034236908,0.877738356590271,2.699983596801758,0.9044177484012378,0.5155819579878884,0.6134305938092595
14,13.228368759155273,3.292215347290039,3.0205044746398926,0.1828327892857705,0.3248738646507263,0.13737334311008453,71.04206670561848,82.10411869549748,1.074180189167658,1.126035721285767,1.074180200067432,1.1260357322842713,0.9812828302383423,0.41493672132492065,0.9940890669822693,2.8522331714630127,0.8916842290670237,0.5052552527064282,0.6014408051089641
