layer,proj_A_pval_signflip,proj_U_pval_signflip,ncf_obs,ncf_null_mean,ncf_pval_below_chance
0,0.0015,0.573,0.958012044429779,0.9994373917579651,0.0
1,0.0,0.0,0.8637662529945374,0.9994338154792786,0.0
2,0.0,0.0,0.8100298047065735,0.9994454979896545,0.0
3,0.0,0.0,0.8112483620643616,0.9994519948959351,0.0
4,0.0,0.0,0.8333735466003418,0.9994401931762695,0.0
5,0.0,0.0,0.853075385093689,0.9994615912437439,0.0
6,0.0,0.0,0.8437376618385315,0.9994232058525085,0.0
7,0.0,0.004,0.8251415491104126,0.9994403719902039,0.0
8,0.0,0.3845,0.8754076957702637,0.9994279742240906,0.0
9,0.0,0.88,0.8974648714065552,0.9994449019432068,0.0
10,0.0,0.0835,0.915561854839325,0.99942547082901,0.0
11,0.0,0.0065,0.9150123596191406,0.9994154572486877,0.0
12,0.0,0.018,0.9087179899215698,0.9994316697120667,0.0
13,0.0,0.005,0.9044181704521179,0.9994463324546814,0.0
14,0.0,0.004,0.8916845917701721,0.9994421601295471,0.0
15,0.0,0.0065,0.9486708641052246,0.9994488954544067,0.0
16,0.0,0.1475,0.9507449269294739,0.9994489550590515,0.0
17,0.0,0.0315,0.9428855180740356,0.9994369149208069,0.0
18,0.0,0.043,0.9353691339492798,0.9994567632675171,0.0
19,0.0,0.0045,0.9427088499069214,0.9994382262229919,0.0
20,0.0,0.008,0.9326918125152588,0.9994620084762573,0.0
21,0.0,0.025,0.9304538369178772,0.9994401931762695,0.0
22,0.0,0.0125,0.9453728199005127,0.9994311332702637,0.0
23,0.0085,0.065,0.9795457124710083,0.9994342923164368,0.0
24,0.009,0.0045,0.9690123200416565,0.9994434714317322,0.0
25,0.011,0.0245,0.974768877029419,0.9994248151779175,0.0
26,0.003,0.0355,0.9735403656959534,0.999427080154419,0.0
27,0.0005,0.488,0.9799793362617493,0.9994251728057861,0.0
28,0.0,0.0065,0.8915140628814697,0.9994308352470398,0.0
