layer,proj_A_pval_signflip,proj_U_pval_signflip,ncf_obs,ncf_null_mean,ncf_pval_below_chance
0,0.0,0.0195,0.8627581000328064,0.9994374513626099,0.0
1,0.0015,0.005,0.9070299863815308,0.9994310140609741,0.0
2,0.0,0.0005,0.8605669736862183,0.9994415044784546,0.0
3,0.0,0.001,0.8392912149429321,0.9994457960128784,0.0
4,0.0,0.002,0.8582819700241089,0.9994417428970337,0.0
5,0.0,0.0055,0.8445748090744019,0.9994552135467529,0.0
6,0.0,0.0025,0.8252726197242737,0.9994217753410339,0.0
7,0.0,0.0045,0.8436034917831421,0.9994426369667053,0.0
8,0.0,0.0065,0.8764612674713135,0.9994353652000427,0.0
9,0.0,0.0095,0.8816388249397278,0.9994453191757202,0.0
10,0.001,0.0255,0.8966974020004272,0.9994305372238159,0.0
11,0.001,0.03,0.9149475693702698,0.9994167685508728,0.0
12,0.002,0.0155,0.9036720991134644,0.9994354248046875,0.0
13,0.0145,0.011,0.9097493290901184,0.9994423985481262,0.0
14,0.111,0.002,0.9139742255210876,0.9994447827339172,0.0
15,0.0115,0.5385,0.9757121205329895,0.9994477033615112,0.0
16,0.0,0.831,0.9349024891853333,0.9994505047798157,0.0
17,0.0,0.7895,0.9372218251228333,0.9994394183158875,0.0
18,0.0,0.8235,0.9236221313476562,0.9994586110115051,0.0
19,0.0,0.946,0.9285279512405396,0.9994410276412964,0.0
20,0.0,0.026,0.8269874453544617,0.9994602799415588,0.0
21,0.0,0.0,0.8066337704658508,0.9994429349899292,0.0
22,0.0,0.0005,0.8290955424308777,0.9994314908981323,0.0
23,0.0,0.0,0.8618801832199097,0.9994388222694397,0.0
24,0.0,0.0,0.8345330953598022,0.9994551539421082,0.0
25,0.0,0.0,0.8594497442245483,0.9994180202484131,0.0
26,0.0,0.0005,0.871769368648529,0.99942946434021,0.0
27,0.0,0.007,0.907296895980835,0.9994250535964966,0.0
28,0.0,0.0445,0.871415913105011,0.9994280934333801,0.0
