layer,effective_rank
0,157.69175720214844
1,176.96414184570312
2,166.25473022460938
3,177.39842224121094
4,181.6640167236328
5,184.55296325683594
6,181.48330688476562
7,174.34889221191406
8,178.89559936523438
9,183.5638427734375
10,181.06167602539062
11,174.6721649169922
12,173.087890625
13,172.10482788085938
14,173.8524627685547
15,170.21096801757812
16,165.02928161621094
17,168.52027893066406
18,167.80821228027344
19,165.3024139404297
20,162.18258666992188
21,162.5242156982422
22,166.68272399902344
23,172.05787658691406
24,177.23809814453125
25,177.13619995117188
26,181.11962890625
27,182.12152099609375
28,127.24642181396484
