layer,proj_A_pval_signflip,proj_U_pval_signflip,ncf_obs,ncf_null_mean,ncf_pval_below_chance
0,0.0015,0.573,0.958012044429779,0.9994373917579651,0.0
1,0.0,0.0,0.8637662529945374,0.9994338154792786,0.0
2,0.0,0.0,0.8100298047065735,0.9994454979896545,0.0
3,0.0,0.0,0.8112483620643616,0.9994519948959351,0.0
4,0.0,0.0,0.8333735466003418,0.9994401931762695,0.0
5,0.0,0.0,0.853075385093689,0.9994615912437439,0.0
6,0.0,0.0,0.8437376618385315,0.9994232058525085,0.0
7,0.0,0.004,0.8251415491104126,0.9994403719902039,0.0
8,0.0,0.3845,0.8754076957702637,0.9994279742240906,0.0
9,0.0,0.88,0.8974648714065552,0.9994449019432068,0.0
10,0.0,0.0835,0.915561854839325,0.99942547082901,0.0
11,0.0,0.0065,0.9150123596191406,0.9994154572486877,0.0
12,0.0,0.018,0.9087179899215698,0.9994316697120667,0.0
13,0.0,0.005,0.9044181704521179,0.9994463324546814,0.0
14,0.0,0.004,0.8916845917701721,0.9994421601295471,0.0
15,0.0,0.0065,0.9486708641052246,0.9994488954544067,0.0
16,0.0,0.1475,0.9507449269294739,0.9994489550590515,0.0
17,0.0,0.0315,0.9428855180740356,0.9994369149208069,0.0
18,0.0,0.043,0.9353691339492798,0.9994567632675171,0.0
19,0.0,0.0045,0.9427088499069214,0.9994382262229919,0.0
20,0.0,0.5575,0.9795283675193787,0.9994571805000305,0.0
21,0.0425,0.224,0.9899740815162659,0.9994421601295471,0.0
22,0.265,0.0575,0.9917433857917786,0.9994338154792786,0.0
23,0.288,0.4925,0.9982141256332397,0.9994362592697144,0.0395
24,0.4795,0.073,0.9959993362426758,0.999446451663971,0.001
25,0.49,0.359,0.998563826084137,0.9994210004806519,0.0765
26,0.6195,0.41,0.9990635514259338,0.999426007270813,0.1985
27,0.775,0.665,0.9995937943458557,0.9994285106658936,0.4885
28,0.04,0.0175,0.984080970287323,0.9994291067123413,0.0
