layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
0,1.0210804724637024,0.7728425174951553,1.2635355770587922,1.02761084582745,0.8820861622691154,1.1717728227376936,0.024759488667597297,-0.2200265947729349,0.24659482277929762,0.06209862682451998,-0.20773243084549903,0.3158798664808273,0.9959274299497541,0.8842984169721604,0.9992326080799103
1,1.0585062153512037,0.8589221566915513,1.2580249905586238,1.0307094936566685,0.9076448500156402,1.1540186554193497,0.08427514488444969,-0.16424310021102428,0.2995188452303407,0.0893595545127193,-0.21658287122845649,0.36146226972341505,0.9903789117976621,0.8534327626228333,0.9990104213356972
2,1.0989657122601195,0.867468498647213,1.325930947065353,1.0243095433938498,0.8972863957285881,1.152789133787155,0.1382384421646049,-0.15960562154650687,0.36814346238970747,0.07001140119158725,-0.24860090501606463,0.35817660838365545,0.9804958952136521,0.8333458080887794,0.9988937392830849
3,1.0611383868021005,0.8585795804858207,1.2678391814231873,1.0133304178410294,0.8892844647169114,1.1371321260929108,0.09761206148197928,-0.18737841434776784,0.3484493620693683,0.041604822563081956,-0.28093251064419744,0.34989651665091487,0.9899178374828508,0.8452496349811554,0.9989383175969124
4,1.123604362298013,0.9141085520386696,1.3378632336854934,1.049387821712027,0.9249444618821144,1.1754241704940795,0.194059655240251,-0.11352097671478986,0.4152095198631284,0.1503443173900252,-0.18822525776922702,0.4281161077320575,0.9611183223099923,0.7827320694923401,0.9984980374574661
5,1.1352181475274854,0.9309315264225007,1.3413190960884094,1.061934965300477,0.9401575177907944,1.1863145262002945,0.2283438644469351,-0.10042579639703035,0.44582683369517323,0.19685444401882568,-0.15731515362858772,0.4642725899815559,0.9443938347705475,0.7515427455306053,0.998414945602417
6,1.1250949461150759,0.9188845455646515,1.3343124002218245,1.062178280473264,0.9396319523453712,1.1877623319625852,0.2092730707085168,-0.11273884642869234,0.42367928251624104,0.19797094471116145,-0.16268327049911022,0.46326692104339584,0.9491662483544724,0.759348951280117,0.9982616484165192
7,1.1292982731500736,0.9114454686641693,1.350906243920326,1.0573192539974463,0.9264982298016549,1.1896694064140318,0.22676122152874026,-0.13480960801243783,0.4705149084329605,0.1852246738080584,-0.19817012436687947,0.47252482622861824,0.9468490720412546,0.7347618013620376,0.9982688292860985
8,1.1414383428705812,0.9520742744207382,1.333836281299591,1.070151486015524,0.948817928135395,1.1924902498722076,0.24950480931760738,-0.07341179680079221,0.4528841145336628,0.2228547679207515,-0.13472028113901616,0.4807198770344257,0.9306718576631783,0.7396808445453644,0.9978669837117196
9,1.1548865590376154,0.9718410983681679,1.3362817138433456,1.0975377163369806,0.9771413162350655,1.2186661779880523,0.2701620692772797,-0.04319650894030928,0.4609878815710544,0.29341774133548065,-0.058722302224487065,0.5070327490568156,0.9032675195326404,0.7168192908167839,0.9969687595963478
10,1.1482304544058044,0.9766420871019363,1.3229779601097107,1.0759722421069853,0.9592669069766998,1.1945560634136199,0.2709565955270461,-0.036565589066594836,0.4613199852406978,0.24098100708242584,-0.11067137699574232,0.47604427710175506,0.9181710294515663,0.7341862365603447,0.9973073452711105
11,1.1561144581097873,0.996020145714283,1.319813397526741,1.0794604546321316,0.9630352288484574,1.1969182580709457,0.29054684626173305,-0.006652203144039958,0.4665250964462756,0.24731378595551118,-0.10001593884080648,0.4768630236387252,0.9089136347132858,0.735779756307602,0.9958831742405891
12,1.1681627360287166,0.9997428625822067,1.3390257239341734,1.0912114175731749,0.9711054682731628,1.209240278601646,0.3117332028758414,-0.00043190153810428335,0.4852019794285296,0.2918589416826808,-0.07681192848831415,0.5129466354846953,0.8885851591233284,0.7044262334704399,0.9943007320165634
13,1.1882523540719485,1.0258476436138153,1.3533470571041106,1.0999122319964925,0.982250988483429,1.2184082627296446,0.3377666793683101,0.043089875113219024,0.4958445310592651,0.303047172229844,-0.04973173402249813,0.510730125010013,0.8731831585990426,0.6986113533377647,0.9912272498011588
