layer,effective_rank
0,96.15535736083984
1,104.4281234741211
2,86.87914276123047
3,89.15406799316406
4,91.2883071899414
5,90.07122802734375
6,86.19893646240234
7,74.79197692871094
8,83.32897186279297
9,85.0517349243164
10,84.90509033203125
11,83.01071166992188
12,81.36738586425781
13,82.87998962402344
14,83.8528823852539
15,84.52420043945312
16,73.75331115722656
17,75.53448486328125
18,72.0244140625
19,67.02960205078125
20,58.92487716674805
21,60.93574142456055
22,69.01876068115234
23,71.12752532958984
24,74.65113830566406
25,73.95488739013672
26,76.65906524658203
27,73.61955261230469
28,36.66719436645508
