layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
0,0.019135914742946625,0.036643095314502716,0.016292421147227287,0.29208869446696956,0.024760611355304718,0.062099993228912354,88.58117646873511,86.4396416083902,1.0210807456648656,1.0276109812972938,1.0210807555994532,1.0276109812972938,0.0004033993755001575,0.001011751708574593,0.0010348937939852476,0.016259517520666122,0.9959274263716327,-0.2344267130037654,-0.313866764843209
1,0.3697997033596039,0.7470288872718811,0.2567254900932312,0.22987008924025737,0.08427514880895615,0.08935962617397308,85.1656556030949,84.87323206528062,1.058506208540892,1.0307095103454769,1.0585062017305806,1.0307095070077152,0.02163557894527912,0.02294088713824749,0.025181448087096214,0.2554875314235687,0.9903788815737232,-0.2687439023874774,-0.3377681980018972
2,0.5612339973449707,1.1571558713912964,0.40179091691970825,0.23381825154556432,0.13823868334293365,0.07001178711652756,82.0540607598079,85.98533576891523,1.0989659369718616,1.0243096797178972,1.098965913317994,1.0243096880642675,0.055543042719364166,0.028130091726779938,0.05611276999115944,0.3978533148765564,0.9804957276059786,-0.26053097129936426,-0.34679084264892013
3,0.7953934073448181,1.5548639297485352,0.4981870949268341,0.21197129562979977,0.09761218726634979,0.041604772210121155,84.39831389994261,87.61553390567589,1.0611384692394796,1.0133304008910948,1.0611384692394796,1.0133304055138044,0.04862913489341736,0.02072695642709732,0.05002289637923241,0.49566930532455444,0.9899176946574445,-0.25595298189771953,-0.323143558446049
4,1.126017451286316,2.1832869052886963,0.7172054052352905,0.21672391711058217,0.1940595954656601,0.1503441482782364,78.81020698099734,81.35312902517019,1.123604303535566,1.0493877591906566,1.123604268278098,1.0493877560645881,0.13918057084083557,0.10782764106988907,0.1414211541414261,0.7031241655349731,0.9611184901478081,-0.24718162794391269,-0.3194838965799356
5,1.4747185707092285,2.775646209716797,0.8732823729515076,0.20546057009473206,0.2283434271812439,0.19685417413711548,76.80043802105709,78.64694031779335,1.1352178460502746,1.0619348569876426,1.1352178734572937,1.0619348569876426,0.19940827786922455,0.17190924286842346,0.20592759549617767,0.8486552238464355,0.9443939229820125,-0.24090021939918252,-0.3060743496506268
6,1.5342668294906616,2.920048475265503,0.9171225428581238,0.2058952898596781,0.20927301049232483,0.1979708969593048,77.92024778549825,78.5816723689863,1.1250949334546498,1.062178280473264,1.1250949334546498,1.062178280473264,0.19192898273468018,0.1815635710954666,0.20677804946899414,0.8935080766677856,0.9491661091005441,-0.24814001295699004,-0.3111099120405896
7,1.9801044464111328,3.6484663486480713,1.1290462017059326,0.20059198699092437,0.22676055133342743,0.18522387742996216,76.89357345958945,79.32581478431476,1.1292977866825151,1.057318958466238,1.1292978018846263,1.0573189674217292,0.2560231387615204,0.2091262936592102,0.26029422879219055,1.0986318588256836,0.9468494824272968,-0.23395835420592956,-0.29640950785185866
8,2.5740609169006348,4.6354522705078125,1.4591737985610962,0.2023956068331514,0.24950464069843292,0.22285452485084534,75.55179868034472,77.1232514911053,1.1414382349203174,1.0701514027975514,1.1414382349203174,1.0701514083454162,0.3640706539154053,0.3251834809780121,0.3842044472694397,1.4076844453811646,0.9306718458611782,-0.22566738145338827,-0.2859265663523817
9,3.079285144805908,5.310715675354004,1.765384316444397,0.2104152731544782,0.2701619565486908,0.29341763257980347,74.32609556632609,72.93732407357318,1.1548864836045882,1.0975376825231802,1.1548864961767595,1.0975376825231802,0.4769396483898163,0.5179949402809143,0.5490671992301941,1.6778281927108765,0.9032676276937581,-0.21245136654897182,-0.26596308817118014
10,3.32179856300354,5.764197826385498,1.8172340393066406,0.20000382560451324,0.2709561288356781,0.2409803867340088,74.27882999872655,76.05558920598693,1.148230151908475,1.0759720268369433,1.148230173515427,1.0759720196612752,0.4923907518386841,0.4379177689552307,0.5198318958282471,1.7412965297698975,0.9181713588743572,-0.2115546109775507,-0.2688091823970115
11,3.6898326873779297,6.170650005340576,1.9825941324234009,0.20106461237205003,0.29054710268974304,0.2473144233226776,73.10928690383406,75.68134968745038,1.1561146682494319,1.0794606925690668,1.1561146682494319,1.0794607050920635,0.5760369896888733,0.49032407999038696,0.5983577370643616,1.8901447057724,0.9089133329737942,-0.1951341655657069,-0.25159187361879276
12,3.7539467811584473,6.479755401611328,2.0250461101531982,0.1978801094665346,0.3117332458496094,0.29185909032821655,71.83628498111409,73.03071012276023,1.1681627867844522,1.0912114970702054,1.1681628037030307,1.0912114970702054,0.6312742233276367,0.5910282135009766,0.6759375333786011,1.9089053869247437,0.8885849902528448,-0.20977478887853354,-0.26635606245984905
13,3.8743648529052734,6.549613952636719,2.159356117248535,0.20715277299191823,0.3377668857574463,0.30304795503616333,70.25912104632232,72.359237316506,1.1882525287875743,1.099912521005936,1.188252544670813,1.099912521005936,0.729358971118927,0.654388427734375,0.7689762115478516,2.017794132232666,0.8731827870845205,-0.1963931933741963,-0.2566437583068271
14,4.290976524353027,7.082731246948242,2.4219236373901367,0.212940554123595,0.36912134289741516,0.33001700043678284,68.33856156807802,70.73019264832628,1.2083403758471518,1.112848545265996,1.208340388795901,1.112848545265996,0.8939836025238037,0.7992759346961975,0.9359115958213806,2.2337825298309326,0.8506695506214486,-0.18431037898735605,-0.24545687090580492
15,4.605432510375977,7.692715167999268,2.4619600772857666,0.20018950330324303,0.3123842477798462,0.21386483311653137,71.7970247725028,77.65106191400075,1.1669935656743324,1.0684448432434543,1.1669935094700699,1.06844483518576,0.7690774202346802,0.5265266299247742,0.7735221982002258,2.337287187576294,0.9012850008783582,-0.18734929000907583,-0.2510363947362193
16,5.2049241065979,9.06729507446289,2.7286174297332764,0.19118382314659996,0.2603971064090729,0.20461954176425934,74.90637366835584,78.19277170257145,1.1365099845911504,1.0615760793596412,1.1365099845911504,1.06157607355982,0.7105241417884827,0.55832839012146,0.726920485496521,2.630007743835449,0.9290278984790498,-0.21340778000413022,-0.2706216122496306
17,5.354214191436768,9.202323913574219,2.8764889240264893,0.19760803711015584,0.24992278218269348,0.20239432156085968,75.52705711798303,78.32299252506394,1.1342680978206636,1.063265001172414,1.1342681227706244,1.063265001172414,0.7189001441001892,0.5821850299835205,0.7431431412696838,2.7788357734680176,0.9332550519644874,-0.2075882060909434,-0.26435610525892866
18,5.781091690063477,9.881941795349121,3.1682369709014893,0.20227480020580973,0.26498615741729736,0.23492364585399628,74.63386972885759,76.41287799725957,1.145221512885837,1.0753185796098983,1.145221527153419,1.0753185796098983,0.8395388126373291,0.7442938685417175,0.8854880928993225,3.041978120803833,0.9218852293519231,-0.20550329678683257,-0.26181710627680804
19,7.180219650268555,12.192086219787598,3.929842472076416,0.20285878699252838,0.2887537479400635,0.29641667008399963,73.21664056386136,72.75749343286473,1.1580392923188467,1.0955431920465266,1.1580392738208531,1.0955431920465266,1.1347568035125732,1.1648706197738647,1.2610759735107422,3.72200870513916,0.8970248715575966,-0.20641213457434132,-0.25871295861990157
20,10.625906944274902,17.687475204467773,5.184147834777832,0.18309885430543868,0.19295190274715424,0.21551771461963654,78.87489577630892,77.55409775300804,1.094137022246964,1.0631676230460891,1.0941370138006334,1.0631676169493391,1.000291109085083,1.1172757148742676,1.1855794191360474,5.046760559082031,0.9476994861922288,-0.21091400517771272,-0.24940744346970864
21,12.880208969116211,21.455820083618164,6.418510437011719,0.18693222868854875,0.25887247920036316,0.2896610200405121,74.9968304284892,73.16233712120427,1.1290022275763998,1.086652111459522,1.1290022160794069,1.086652111459522,1.6615755558013916,1.8591922521591187,1.9613535404205322,6.111494064331055,0.9066220660011284,-0.20798536517796354,-0.24975547110685686
