layer,proj_A_pval_signflip,proj_U_pval_signflip,ncf_obs,ncf_null_mean,ncf_pval_below_chance
0,0.8615,0.7185,0.9959273934364319,0.9993979930877686,0.0005
1,0.581,0.6335,0.9903789758682251,0.999441921710968,0.0
2,0.389,0.708,0.9804958701133728,0.9994527697563171,0.0
3,0.5675,0.8255,0.9899178743362427,0.9994675517082214,0.0
4,0.2565,0.4275,0.9611183404922485,0.9994540810585022,0.0
5,0.207,0.331,0.9443938732147217,0.9994505643844604,0.0
6,0.2195,0.31,0.9491662383079529,0.9994426965713501,0.0
7,0.238,0.3895,0.9468490481376648,0.9994457960128784,0.0
8,0.1435,0.26,0.9306718707084656,0.9994415044784546,0.0
9,0.1045,0.1235,0.9032675623893738,0.9994498491287231,0.0
10,0.0875,0.226,0.9181710481643677,0.9994344711303711,0.0
11,0.0535,0.17,0.9089136123657227,0.9994257688522339,0.0
12,0.042,0.108,0.888585090637207,0.999434769153595,0.0
13,0.025,0.093,0.8731831908226013,0.9994423985481262,0.0
14,0.0105,0.062,0.8506695628166199,0.9994467496871948,0.0
15,0.0215,0.209,0.9012845754623413,0.9994593262672424,0.0
16,0.0845,0.277,0.9290280342102051,0.9994606971740723,0.0
17,0.065,0.244,0.9332550168037415,0.9994364976882935,0.0
18,0.062,0.1785,0.9218851923942566,0.9994664788246155,0.0
19,0.0445,0.0825,0.8970252871513367,0.9994422793388367,0.0
20,0.178,0.1905,0.9476993083953857,0.9994444251060486,0.0
21,0.0525,0.0735,0.9066221117973328,0.9994379878044128,0.0
22,0.059,0.075,0.9124099612236023,0.9994412660598755,0.0
23,0.2605,0.184,0.9587242603302002,0.9994359612464905,0.0
24,0.1605,0.238,0.9542454481124878,0.9994608163833618,0.0
25,0.18,0.2195,0.9541270136833191,0.9994314908981323,0.0
26,0.1305,0.224,0.95279461145401,0.999442458152771,0.0
27,0.3055,0.2615,0.9708883762359619,0.9994469285011292,0.0
28,0.115,0.3845,0.9003335237503052,0.999422550201416,0.0
