layer,cos_R_refusal,cos_Rperp_refusal,cos_tauA_refusal,cos_tauU_refusal,cos_joint_refusal
0,0.0,0.0,0.0,0.0,0.0
1,-0.009271212853491306,-0.005056619178503752,-0.029572639614343643,-0.045462608337402344,-0.044536858797073364
2,-0.018534261733293533,-0.014055452309548855,-0.04877610504627228,-0.1143077164888382,-0.10081339627504349
3,-0.050327785313129425,-0.04615841805934906,-0.06949874013662338,-0.12250687181949615,-0.12155532091856003
4,0.0528397373855114,0.05203840509057045,0.022364992648363113,-0.04136420413851738,-0.008419794030487537
5,0.029302671551704407,0.015987133607268333,0.08003905415534973,-0.0031101610511541367,0.03210742026567459
6,0.01683875359594822,0.011987008154392242,0.05049731209874153,-0.017523791640996933,0.009558300487697124
7,0.03874325379729271,0.03507417067885399,0.03230977803468704,-0.025586839765310287,0.0025840280577540398
8,0.02618054300546646,0.02500707283616066,0.03177700191736221,-0.03403118625283241,-0.005327736027538776
9,0.039161697030067444,0.03743360936641693,0.033751338720321655,-0.00501709058880806,0.01741754449903965
10,0.0714542344212532,0.04987988620996475,0.08570641279220581,0.05729417875409126,0.08336305618286133
11,0.05138188973069191,0.03966823220252991,0.04771467670798302,0.027400340884923935,0.045913614332675934
12,0.0503682866692543,0.04043418541550636,0.05417575687170029,0.005095829255878925,0.03320304676890373
13,0.03269399330019951,0.024238958954811096,0.04546675086021423,-0.007020510733127594,0.019202813506126404
14,0.06413641571998596,0.04849366471171379,0.06428627669811249,0.014227347448468208,0.04601169750094414
15,0.07505844533443451,0.05703192949295044,0.06497962027788162,0.05355546995997429,0.07466166466474533
16,0.05466841161251068,0.04635535180568695,0.04303014650940895,0.009443100541830063,0.03307627514004707
17,0.0644327700138092,0.05352405086159706,0.0534047968685627,0.02447320893406868,0.04934781417250633
18,0.040949683636426926,0.033247705549001694,0.039473503828048706,0.012066256254911423,0.031002268195152283
19,0.012647653929889202,-0.0043691364116966724,0.06614886969327927,0.031562916934490204,0.04686485230922699
20,-0.022870784625411034,-0.026706023141741753,0.046738382428884506,-0.009048734791576862,0.007988869212567806
21,-0.08149737119674683,-0.079652801156044,0.01662093587219715,-0.036902375519275665,-0.032597582787275314
22,-0.10025189071893692,-0.1045055016875267,0.045986346900463104,-0.032084252685308456,-0.021724551916122437
23,-0.09473860263824463,-0.09055493772029877,0.06090620160102844,-0.05007977411150932,-0.0258184764534235
24,-0.07408558577299118,-0.07349979877471924,0.03222598135471344,-0.05693145841360092,-0.03744126111268997
25,-0.05784471333026886,-0.06050102040171623,0.04998120665550232,-0.03791409730911255,-0.014220751821994781
26,-0.0677771046757698,-0.07043112814426422,0.028719689697027206,-0.039381563663482666,-0.025784367695450783
27,-0.04153461381793022,-0.0377243310213089,0.015935711562633514,-0.04717108607292175,-0.03063242882490158
28,0.11094106733798981,0.0986015647649765,0.04659368842840195,-0.05322590097784996,-0.0031438060104846954
