layer,alpha_A_given_U,alpha_A_given_U_lo,alpha_A_given_U_hi,alpha_U_given_A,alpha_U_given_A_lo,alpha_U_given_A_hi,cos_R_vs_tau_A,cos_R_vs_tau_A_lo,cos_R_vs_tau_A_hi,cos_R_vs_tau_U,cos_R_vs_tau_U_lo,cos_R_vs_tau_U_hi,ncf,ncf_lo,ncf_hi
0,0.9524784210353996,0.8921691581606865,1.0133729934692384,1.7710245154833948,1.5169531613588334,2.020896929502487,-0.15552327257797394,-0.31412156075239184,0.0403975464403629,0.37561435344427463,0.2356542319059372,0.43287259265780437,0.8561555187194718,0.7937579691410065,0.9382762923836708
1,0.9489001890067214,0.8987535089254379,0.998559084534645,1.392714265132104,1.220215266942978,1.5676882296800612,-0.24013808340202494,-0.40231248140335085,-0.006156633264618334,0.2922989426778963,0.15154899470508099,0.3555595509707927,0.885009161294687,0.7821090623736382,0.9713031142950058
2,0.930248344313758,0.8786236003041268,0.9835220500826836,1.4114341198672793,1.1959686666727065,1.6352934271097181,-0.3478770298350452,-0.5031745955348015,-0.080832476913929,0.2804848158475981,0.12830789610743523,0.3648533172905444,0.8433664224086287,0.7120314463973045,0.970627349615097
3,0.9284331589981982,0.878968732059002,0.9786292016506195,1.3517219841794752,1.1706334233283997,1.5317522943019863,-0.37411297613070926,-0.5174141347408294,-0.10848529729992155,0.2586475386545021,0.118660207092762,0.3344103813171386,0.8325171892139424,0.7057743012905121,0.9694096490740776
4,0.930978111782687,0.8819512695074081,0.9806195899844169,1.386291596185707,1.1928370654582978,1.579951474070549,-0.3524667795747739,-0.49157634004950523,-0.09482607375830458,0.2754729889650978,0.1296754080802202,0.34923962280154225,0.8351421611241822,0.7198416873812675,0.9664883464574814
5,0.9280378123571809,0.8789265617728234,0.9758967682719231,1.356218911425676,1.1879227191209794,1.5289076387882232,-0.3780452635228188,-0.5164986655116082,-0.12242128755897301,0.26147485643896323,0.1276266384869814,0.33313662856817244,0.8127804601478936,0.6975598692893982,0.9569965064525604
6,0.9376987601959144,0.8899835139513016,0.9851161286234855,1.3746722877357638,1.1806962549686433,1.5668602138757706,-0.32888259315598617,-0.4710769638419151,-0.07643581498414287,0.2778030225688585,0.1254966925829649,0.354634553194046,0.8477744815103695,0.735817500948906,0.9696144729852676
7,0.9446263633201439,0.8957787722349166,0.9911793023347854,1.42127516817818,1.2373813480138778,1.6152729421854017,-0.29601783305584134,-0.4527089029550552,-0.04430792853236205,0.31632884944146666,0.16380766741931438,0.3914993867278099,0.8386071016614393,0.7299992248415947,0.957951246201992
8,0.9460993899194768,0.9006183698773385,0.9900729820132255,1.4380851233018546,1.2780147314071655,1.5981193542480467,-0.28861565035544806,-0.4354417085647583,-0.05072288839146542,0.35710599670329346,0.20991596393287182,0.41834523081779473,0.8141737148094533,0.7145512416958809,0.9381184294819832
9,0.959497567819575,0.9166879922151565,1.0021834164857863,1.406338873504099,1.2578169703483582,1.5524202793836588,-0.214349229219291,-0.37396492138504983,0.011473168060183425,0.3404861017798432,0.1993411011993885,0.4032534450292587,0.8515326430794742,0.7686723127961159,0.9484529346227646
