layer,effective_rank
0,105.9979476928711
1,124.72439575195312
2,106.68595123291016
3,111.22486877441406
4,118.43633270263672
5,117.5787582397461
6,114.85735321044922
7,104.1595230102539
8,113.17505645751953
9,116.97313690185547
10,117.77217864990234
11,114.05029296875
12,111.74323272705078
13,112.0365219116211
14,114.01331329345703
15,112.57781982421875
16,102.7757797241211
17,104.40755462646484
18,101.11848449707031
19,98.19881439208984
20,89.04801940917969
21,92.66295623779297
22,101.92138671875
23,105.49889373779297
24,110.50559997558594
25,110.59152221679688
26,114.50458526611328
27,113.45623779296875
28,56.670204162597656
