layer,norm_tau_A,norm_tau_U,norm_tau_AU,eta,cos_R_vs_tau_A,cos_R_vs_tau_U,theta_A_deg,theta_U_deg,alpha_A_given_U,alpha_U_given_A,alpha_A_given_U_span,alpha_U_given_A_span,norm_R_parallel_A,norm_R_parallel_U,norm_R_in_span,norm_R_perp,ncf,cai,rna
0,0.0636187270283699,0.009469502605497837,0.019439177587628365,0.26596861116108494,-0.1555243730545044,0.37563472986221313,98.94720942778267,67.9364515541221,0.9524784785620538,1.7710243532211831,0.952478474966638,1.7710226494679602,0.0030232591088861227,0.007301216945052147,0.007372069172561169,0.017987050116062164,0.8561554430721712,0.4417294519684964,0.7408746563623667
1,1.2714762687683105,0.20138032734394073,0.27056175470352173,0.1836986394878561,-0.2401387244462967,0.2922990620136261,103.89472813324053,73.00435224471417,0.9489000691818574,1.392714265132104,0.9489000691818574,1.3927142192021582,0.06497234851121902,0.07908493280410767,0.09174840897321701,0.25453078746795654,0.8850091671391545,0.5278387142961424,0.7265445508975871
2,2.0022616386413574,0.27368980646133423,0.4014667272567749,0.1763951187784278,-0.34787696599960327,0.28048473596572876,110.35751573168491,73.71086261292162,0.9302483666150339,1.4114339458025165,0.9302483517475166,1.411433970668911,0.1396610140800476,0.11260528862476349,0.15888828039169312,0.3686869144439697,0.8433664206902318,0.5538331882200047,0.7594941571818496
3,2.755068778991699,0.38757017254829407,0.5270375609397888,0.1677054117223582,-0.37411320209503174,0.2586478888988495,111.96951391758843,75.01015222401283,0.9284331040297784,1.3517224553878502,0.9284331040297784,1.3517224057869686,0.19717171788215637,0.13631711900234222,0.21568863093852997,0.48088154196739197,0.8325169110943144,0.5618718963014445,0.7533473095118935
4,3.800292730331421,0.5307004451751709,0.7441933155059814,0.17182971286964377,-0.3524666726589203,0.2754729986190796,110.63826225599685,74.00979623241311,0.9309781200369062,1.38629170200167,0.930978111782687,1.3862916490936885,0.26230335235595703,0.2050051987171173,0.3021625280380249,0.6800893545150757,0.8351421750641073,0.5569207959386606,0.7549289839794124
5,4.887584686279297,0.6829168200492859,0.930368185043335,0.16701695212113035,-0.3780454695224762,0.2614747881889343,112.2126669800552,74.84241113628455,0.9280377724352539,1.3562188475236716,0.9280377624547721,1.3562187836216673,0.3517214357852936,0.24326783418655396,0.40255993604660034,0.8387672305107117,0.8127803642307447,0.5632113083606003,0.7548095721552253
6,5.182992458343506,0.7279838919639587,0.9818302392959595,0.16610288714551527,-0.32888278365135193,0.2778029441833496,109.20097903735845,73.8708787810075,0.9376987246950496,1.3746722033832908,0.9376987246950496,1.3746722033832908,0.322907030582428,0.27275532484054565,0.38307157158851624,0.9040169715881348,0.8477745120200348,0.5650216904147584,0.7536840438569806
7,6.266556262969971,0.8802115321159363,1.1722335815429688,0.1640229000736198,-0.29601725935935974,0.31632909178733826,107.21854671624652,71.55893149269296,0.9446264665323665,1.421275552837265,0.9446264543897521,1.4212755913031736,0.34700140357017517,0.3708116412162781,0.4709300100803375,1.0734788179397583,0.8386072990327403,0.5651468352799885,0.7536756304046859
8,8.277402877807617,1.2601044178009033,1.5458520650863647,0.1620813505618316,-0.2886158227920532,0.3571060299873352,106.77510548883309,69.07742657904245,0.9460993551216672,1.4380851983771463,0.9460993620812291,1.4380851983771463,0.4461573660373688,0.552033007144928,0.6663787364959717,1.3948465585708618,0.8141735844646324,0.5495144739156216,0.7357581216090077
9,9.421006202697754,1.4916518926620483,1.7801493406295776,0.1631270148338331,-0.21434900164604187,0.34048616886138916,102.3773374748986,70.09350313613245,0.9594976107994846,1.4063389002923978,0.9594976081132403,1.4063389806572943,0.38157325983047485,0.6061161756515503,0.6859169006347656,1.6426957845687866,0.8515328536303917,0.5485362566157163,0.7266198788122177
