layer,proj_A_pval_signflip,proj_U_pval_signflip,ncf_obs,ncf_null_mean,ncf_pval_below_chance
0,0.1325,0.0,0.856155514717102,0.9994274973869324,0.0
1,0.0425,0.0,0.8850091695785522,0.9994450807571411,0.0
2,0.008,0.0,0.8433664441108704,0.9994491934776306,0.0
3,0.0025,0.0,0.832517147064209,0.9994562268257141,0.0
4,0.007,0.0,0.8351421356201172,0.9994553923606873,0.0
5,0.0025,0.0,0.8127804398536682,0.999459981918335,0.0
6,0.012,0.0,0.8477745056152344,0.9994378089904785,0.0
7,0.027,0.0,0.8386070728302002,0.999443769454956,0.0
8,0.0185,0.0,0.814173698425293,0.9994391798973083,0.0
9,0.0665,0.0,0.8515326380729675,0.9994427561759949,0.0
10,0.034,0.0,0.792801558971405,0.999422013759613,0.0
11,0.039,0.0,0.7736058235168457,0.9994165301322937,0.0
12,0.049,0.0,0.7810890078544617,0.9994333386421204,0.0
13,0.0285,0.0,0.7704150676727295,0.9994469881057739,0.0
14,0.031,0.0,0.771252453327179,0.9994462728500366,0.0
15,0.003,0.0,0.7254340648651123,0.9994539618492126,0.0
16,0.001,0.0,0.7426083087921143,0.9994527101516724,0.0
17,0.002,0.0,0.7560884952545166,0.9994502067565918,0.0
18,0.004,0.0,0.7744861841201782,0.9994479417800903,0.0
19,0.0315,0.0,0.7632974982261658,0.9994349479675293,0.0
20,0.0025,0.0,0.7073076367378235,0.9994469881057739,0.0
21,0.008,0.0,0.7154008150100708,0.9994363188743591,0.0
22,0.008,0.0,0.7245332598686218,0.9994370341300964,0.0
23,0.004,0.0,0.711993932723999,0.9994387030601501,0.0
24,0.0035,0.0,0.7010830640792847,0.9994556903839111,0.0
25,0.0035,0.0,0.6753609776496887,0.9994156956672668,0.0
26,0.0005,0.0,0.6667726635932922,0.999428927898407,0.0
27,0.0025,0.0,0.6751207709312439,0.9994226694107056,0.0
28,0.0,0.0,0.40858519077301025,0.9994133710861206,0.0
