layer,cosine_sim,residue_norm
0,0.025238883,0.9329922
1,0.20580727,0.90834033
2,0.20198576,0.92000824
3,0.18041995,0.9144029
4,0.17816894,0.9162827
5,0.20021138,0.9072194
6,0.18604441,0.90893376
7,0.24400115,0.90925926
8,0.25131863,0.8997813
9,0.27480206,0.8937849
10,0.30535692,0.89194536
11,0.2997881,0.8780972
12,0.33656073,0.8869187
13,0.35256517,0.8836055
14,0.36205474,0.8763454
15,0.2648275,0.845006
16,0.31302226,0.8673075
17,0.32142732,0.87126046
18,0.34728298,0.8823252
19,0.3743275,0.8887592
20,0.32036728,0.9012056
21,0.34823516,0.9109382
22,0.33644685,0.9091968
23,0.31281328,0.8996512
24,0.33789343,0.90766376
25,0.35580713,0.9056837
26,0.3681756,0.90917
27,0.40535343,0.90375495
28,0.34526882,0.9015032
