layer,vector_type,pc1,pc2,pc3
0,AI,-11.30218,-2.4828875,-2.169887
0,User,-11.300467,-2.483686,-2.169606
0,Joint,-11.300195,-2.4837198,-2.1693785
0,Residue,-11.302183,-2.4832282,-2.169796
1,AI,-11.285531,-2.4804273,-2.1570501
1,User,-11.027142,-2.2091596,-1.8651037
1,Joint,-11.002943,-2.1802711,-1.8397954
1,Residue,-11.294905,-2.4567654,-2.1575513
2,AI,-11.264296,-2.472448,-2.1371756
2,User,-10.758067,-2.0254858,-1.6654892
2,Joint,-10.708723,-1.9692757,-1.61082
2,Residue,-11.290996,-2.4374232,-2.148065
3,AI,-11.235827,-2.4652352,-2.127759
3,User,-10.477785,-1.8533223,-1.3976824
3,Joint,-10.4055395,-1.7843478,-1.3266511
3,Residue,-11.296564,-2.4318728,-2.1411192
4,AI,-11.199896,-2.4568903,-2.1155584
4,User,-10.2194605,-1.525631,-1.0339661
4,Joint,-10.109248,-1.4240912,-0.93767565
4,Residue,-11.294531,-2.407652,-2.1280608
5,AI,-11.128865,-2.4321816,-2.080183
5,User,-9.825638,-1.1790911,-0.64293915
5,Joint,-9.632994,-1.0346447,-0.5132764
5,Residue,-11.283128,-2.3894536,-2.1300638
6,AI,-11.103419,-2.4165618,-2.0635977
6,User,-9.611743,-1.0477527,-0.4455126
6,Joint,-9.389758,-0.8784077,-0.29583228
6,Residue,-11.279234,-2.3801756,-2.126632
7,AI,-11.01797,-2.3572903,-2.0091417
7,User,-9.089291,-0.51310825,0.11017576
7,Joint,-8.780753,-0.27348933,0.29788432
7,Residue,-11.2781315,-2.3691735,-2.14306
8,AI,-10.9140835,-2.298857,-1.986084
8,User,-8.171481,0.18350008,0.9435015
8,Joint,-7.7399125,0.50171506,1.1799314
8,Residue,-11.258982,-2.3490102,-2.1173959
9,AI,-10.798399,-2.2188945,-1.9289984
9,User,-7.5303864,0.49411765,1.4448898
9,Joint,-7.0021615,0.8798772,1.730698
9,Residue,-11.278015,-2.3614278,-2.1251037
10,AI,-10.72726,-2.1768687,-1.9101846
10,User,-6.930959,0.9347649,1.8430573
10,Joint,-6.3237977,1.3949519,2.140283
10,Residue,-11.270212,-2.3290253,-2.1324992
11,AI,-10.619091,-2.161603,-1.904505
11,User,-6.344024,1.1103193,2.2485955
11,Joint,-5.6622496,1.5924122,2.604158
11,Residue,-11.30377,-2.3223863,-2.0798426
12,AI,-10.582852,-2.110968,-1.8567145
12,User,-6.0388937,1.3345089,2.5522318
12,Joint,-5.301813,1.8842071,2.9595444
12,Residue,-11.284705,-2.305416,-2.075883
13,AI,-10.503687,-2.0588396,-1.8418229
13,User,-5.7991977,1.4982134,2.7554548
13,Joint,-4.964912,2.1160672,3.2197652
13,Residue,-11.266662,-2.2893882,-2.033776
14,AI,-10.426035,-1.9995272,-1.7958051
14,User,-5.424205,1.7863795,3.109038
14,Joint,-4.444331,2.5174067,3.6694903
14,Residue,-11.198729,-2.2355282,-1.9836534
15,AI,-10.389881,-2.030212,-1.7929108
15,User,-4.096723,2.219949,3.7862778
15,Joint,-3.2990696,2.776385,4.191672
15,Residue,-11.417105,-2.3794334,-2.1416068
16,AI,-10.148961,-1.8508788,-1.6832019
16,User,-2.72809,3.258815,4.813762
16,Joint,-1.8528948,3.8721929,5.264148
16,Residue,-11.580481,-2.5018268,-2.2063224
17,AI,-10.126253,-1.842837,-1.7176052
17,User,-2.3197434,3.4941041,5.1888013
17,Joint,-1.3137414,4.165703,5.642281
17,Residue,-11.472382,-2.4516475,-2.1688247
18,AI,-9.933539,-1.7416055,-1.6810716
18,User,-1.1605518,4.3468847,5.967809
18,Joint,0.065046996,5.094183,6.4707384
18,Residue,-11.4455,-2.477179,-2.1559093
19,AI,-9.528611,-1.5864714,-1.5481436
19,User,1.3709764,5.834992,7.501802
19,Joint,2.9576073,6.6466093,8.1403675
19,Residue,-11.489392,-2.5679936,-2.153203
20,AI,-8.922184,-1.2791414,-1.6287479
20,User,9.906673,9.584798,10.945585
20,Joint,11.5199175,10.391086,11.474071
20,Residue,-12.069209,-2.880651,-2.1826773
21,AI,-8.285907,-1.0226874,-1.6878008
21,User,16.590988,12.827054,12.972283
21,Joint,18.765789,13.727509,13.414405
21,Residue,-12.143925,-3.0429401,-2.2099905
22,AI,-7.7398434,-0.9805863,-2.0506341
22,User,23.298683,15.533417,14.152002
22,Joint,26.014109,16.2618,14.039822
22,Residue,-12.14937,-3.2571092,-2.4014587
23,AI,-7.12416,-0.8979873,-2.6051047
23,User,32.153355,18.514263,13.7559805
23,Joint,35.535965,19.241295,12.983315
23,Residue,-12.097853,-3.3410604,-2.5074737
24,AI,-5.8339176,-0.46820018,-3.17016
24,User,44.447693,21.860914,12.3976145
24,Joint,48.845116,22.683372,10.823799
24,Residue,-12.373298,-3.6754198,-2.7435641
25,AI,-4.5175576,-0.097509444,-4.3607864
25,User,56.116028,24.166092,5.959939
25,Joint,62.226234,25.281216,2.4921236
25,Residue,-11.976868,-3.7534397,-3.4469404
26,AI,-3.294019,0.09780231,-5.8147154
26,User,67.816574,23.50809,-6.4673
26,Joint,75.55698,24.78429,-11.845787
26,Residue,-11.570209,-3.787683,-3.9036794
27,AI,-1.5025907,-0.31688663,-9.085304
27,User,79.697815,14.099492,-25.974455
27,Joint,89.83922,14.960558,-35.539867
27,Residue,-10.960617,-3.7881272,-4.820023
28,AI,-3.0817554,-7.9828787,-5.0648117
28,User,77.95483,-89.63888,10.941799
28,Joint,85.67625,-96.73642,6.26929
28,Residue,-11.801451,-4.0807285,-3.9476128
