layer,cos_res_ai,cos_res_user,cos_res_joint
0,-0.32340243458747864,0.17243024706840515,0.3453470468521118
1,-0.16766449809074402,0.2147148698568344,0.36619633436203003
2,-0.19056780636310577,0.2760074734687805,0.4065157175064087
3,-0.2686498463153839,0.24419763684272766,0.36016079783439636
4,-0.2594183087348938,0.22221575677394867,0.34683650732040405
5,-0.2789868116378784,0.21705564856529236,0.3286350667476654
6,-0.3043268024921417,0.22493219375610352,0.33324819803237915
7,-0.2685377895832062,0.2160188853740692,0.3237627446651459
8,-0.2338694930076599,0.1951836496591568,0.31210002303123474
9,-0.23819959163665771,0.17322301864624023,0.2905174493789673
10,-0.2191651463508606,0.156942218542099,0.27293500304222107
11,-0.19374291598796844,0.14987385272979736,0.2708764672279358
12,-0.19175955653190613,0.16526558995246887,0.2806468605995178
13,-0.15572580695152283,0.18550482392311096,0.3042198121547699
14,-0.1004379540681839,0.22050923109054565,0.34454625844955444
15,-0.1354473978281021,0.03846142441034317,0.19491271674633026
16,-0.2463809847831726,-0.014166053384542465,0.11704078316688538
17,-0.23071837425231934,0.018364543095231056,0.15296097099781036
18,-0.25378045439720154,0.014478945173323154,0.14444957673549652
19,-0.24653539061546326,0.0036019515246152878,0.14698031544685364
20,-0.42025116086006165,-0.10683872550725937,0.004952245391905308
21,-0.42528966069221497,-0.1271105408668518,-0.012126930989325047
22,-0.38870126008987427,-0.12692198157310486,0.00376739539206028
23,-0.34831762313842773,-0.11141617596149445,0.02701578661799431
24,-0.37970179319381714,-0.1396925449371338,-0.008074535988271236
25,-0.3461308479309082,-0.12075786292552948,0.016615189611911774
26,-0.3257753252983093,-0.08303744345903397,0.056569021195173264
27,-0.24995464086532593,-0.044288888573646545,0.10559339821338654
28,-0.24747490882873535,-0.018563099205493927,0.08343540132045746
