layer,proj_user,neg_norm_user,proj_ai,neg_norm_ai
0,-0.00061013474,-0.014690542,0.005062672,-0.08346753
1,-0.078447096,-0.2892011,0.12552941,-1.5735161
2,-0.14761561,-0.39914662,0.20468123,-2.4171116
3,-0.17816024,-0.54694384,0.26433003,-3.1882343
4,-0.17191526,-0.76774395,0.37298524,-4.3157682
5,-0.17044216,-1.0176643,0.40511522,-5.297895
6,-0.2289757,-1.1298592,0.43113136,-5.6946397
7,-0.20638645,-1.3519256,0.57360476,-7.0491424
8,-0.078144684,-1.883738,0.6755917,-9.242465
9,0.014332014,-2.197421,0.7112859,-10.241359
10,0.1868861,-2.4899464,0.692638,-11.345607
11,0.32798636,-2.8710973,0.7494607,-11.947329
12,0.31371155,-2.893239,0.8134841,-12.413196
13,0.3665975,-3.0433114,0.8660368,-12.701915
14,0.4149368,-3.2922153,0.98128283,-13.228369
15,0.38318858,-3.8295662,0.7105911,-15.10686
16,0.22975373,-4.497974,0.81520045,-17.493332
17,0.3754636,-4.7484837,0.9346988,-17.880356
18,0.3895383,-5.096079,1.1010374,-19.288273
19,0.543533,-6.2793527,1.307613,-22.47885
20,-0.62775016,-8.183067,1.4791527,-33.486557
21,-0.7046211,-9.728207,1.817482,-41.18108
22,-1.0275769,-11.514338,1.8053792,-48.38724
23,-0.85736066,-13.946115,1.2702435,-57.264683
24,-1.5559626,-16.437351,1.5614012,-70.678635
25,-1.5246974,-19.410658,1.6972352,-81.921104
26,-1.5940182,-22.080635,2.2578773,-92.5255
27,-0.5930806,-25.776655,2.8227344,-104.7466
28,-2.2443,-25.521013,6.3065143,-134.61078
