layer,cosine_sim,residue_norm
0,-0.16355,0.87382764
1,-0.104748376,0.893108
2,-0.12947854,0.9132846
3,-0.09479399,0.9046939
4,-0.043151367,0.89171696
5,0.04097779,0.8803487
6,0.0513262,0.8832246
7,0.095625386,0.8844183
8,0.13931608,0.8640293
9,0.16952142,0.8541319
10,0.19755393,0.84043056
11,0.21285483,0.823691
12,0.2439235,0.83694905
13,0.264223,0.8363322
14,0.26663592,0.8318177
15,0.23065495,0.8163049
16,0.28755575,0.83347344
17,0.30901742,0.8321819
18,0.32320005,0.8395728
19,0.3460748,0.8402663
20,0.24715927,0.8545347
21,0.28175148,0.865012
22,0.26209944,0.8630754
23,0.23435637,0.846271
24,0.22328402,0.85436136
25,0.24424818,0.85216475
26,0.24109636,0.8524075
27,0.28157672,0.8486744
28,0.029990187,0.85241264
