layer,residue_norm,ai_norm,user_norm,joint_norm
0,0.0247351,0.08346753,0.014690542,0.09066747
1,0.38381156,1.5735161,0.2892011,1.7208247
2,0.5468666,2.4171116,0.39914662,2.6310844
3,0.7039066,3.1882343,0.54694384,3.4813035
4,0.9904022,4.3157682,0.76774395,4.781808
5,1.1642771,5.297895,1.0176643,5.903079
6,1.262567,5.6946397,1.1298592,6.352393
7,1.5084895,7.0491424,1.3519256,7.946387
8,1.9764208,9.242465,1.883738,10.484408
9,2.2466698,10.241359,2.197421,11.705711
10,2.3900845,11.345607,2.4899464,12.978613
11,2.6379654,11.947329,2.8710973,13.868484
12,2.7210972,12.413196,2.893239,14.4704685
13,2.8390732,12.701915,3.0433114,14.943904
14,3.0205045,13.228369,3.2922153,15.712091
15,3.2904153,15.10686,3.8295662,17.458584
16,3.6732156,17.493332,4.497974,20.385809
17,3.929613,17.880356,4.7484837,21.146214
18,4.3332047,19.288273,5.096079,22.951384
19,5.4780626,22.47885,6.2793527,27.167076
20,6.9368024,33.486557,8.183067,38.218784
21,8.403489,41.18108,9.728207,47.147316
22,10.194997,48.38724,11.514338,54.963158
23,12.161411,57.264683,13.946115,64.16796
24,14.208427,70.678635,16.437351,78.4596
25,16.512712,81.921104,19.410658,91.41214
26,19.394705,92.5255,22.080635,103.717094
27,22.41605,104.7466,25.776655,119.24789
28,20.524208,134.61078,25.521013,144.8516
