layer,vector_type,pc1,pc2
0,AI,-12.80867,-2.6524591
0,User,-12.809294,-2.6506634
0,Joint,-12.808778,-2.651851
0,Residue,-12.809501,-2.651267
1,AI,-12.5142355,-2.400961
1,User,-12.797732,-2.6588554
1,Joint,-12.48394,-2.371473
1,Residue,-12.790656,-2.6141958
2,AI,-12.246054,-2.2575583
2,User,-12.796715,-2.6729825
2,Joint,-12.198776,-2.2178705
2,Residue,-12.774692,-2.5898693
3,AI,-11.911347,-2.0872285
3,User,-12.766668,-2.6668468
3,Joint,-11.826795,-2.0270786
3,Residue,-12.767458,-2.575542
4,AI,-11.571703,-1.7311215
4,User,-12.734357,-2.671567
4,Joint,-11.421514,-1.6309454
4,Residue,-12.734137,-2.5307965
5,AI,-11.080002,-1.3422068
5,User,-12.676729,-2.6464453
5,Joint,-10.863955,-1.1911907
5,Residue,-12.725903,-2.5050802
6,AI,-10.805213,-1.1923134
6,User,-12.640146,-2.6543295
6,Joint,-10.541191,-1.024656
6,Residue,-12.71451,-2.4805524
7,AI,-10.170602,-0.63714373
7,User,-12.580229,-2.6164913
7,Joint,-9.787063,-0.3545193
7,Residue,-12.654912,-2.4034252
8,AI,-9.122418,0.11991441
8,User,-12.484983,-2.5821521
8,Joint,-8.5935755,0.4862464
8,Residue,-12.604858,-2.354056
9,AI,-8.342603,0.48636246
9,User,-12.382398,-2.5155232
9,Joint,-7.723921,0.9366967
9,Residue,-12.617603,-2.3366804
10,AI,-7.6325397,1.012521
10,User,-12.336339,-2.4811826
10,Joint,-6.970114,1.505842
10,Residue,-12.619918,-2.3280344
11,AI,-7.0043225,1.1450416
11,User,-12.222615,-2.471747
11,Joint,-6.192834,1.6816002
11,Residue,-12.58458,-2.2942333
12,AI,-6.6463165,1.4013278
12,User,-12.161339,-2.3990533
12,Joint,-5.7454834,2.0553222
12,Residue,-12.55651,-2.2494922
13,AI,-6.409893,1.5406777
13,User,-12.075038,-2.3524342
13,Joint,-5.366764,2.266376
13,Residue,-12.500518,-2.2244067
14,AI,-6.097498,1.7879008
14,User,-12.025424,-2.317361
14,Joint,-4.95236,2.6246605
14,Residue,-12.448117,-2.1484184
15,AI,-4.504336,2.2327619
15,User,-11.93034,-2.3175306
15,Joint,-3.3709438,3.0266078
15,Residue,-12.554955,-2.191163
16,AI,-2.681352,3.4333692
16,User,-11.598787,-2.0726075
16,Joint,-1.2127424,4.4632053
16,Residue,-12.551289,-2.200095
17,AI,-2.3026936,3.766889
17,User,-11.521839,-2.0076337
17,Joint,-0.6804602,4.956175
17,Residue,-12.474607,-2.1056209
18,AI,-1.1486784,4.5844097
18,User,-11.371801,-1.9531345
18,Joint,0.7232816,5.892807
18,Residue,-12.374922,-2.0410085
19,AI,1.5255648,5.9850936
19,User,-10.882647,-1.8143365
19,Joint,4.064698,7.529479
19,Residue,-12.196903,-1.9438168
20,AI,12.030689,10.221534
20,User,-10.570705,-1.6673012
20,Joint,15.044577,12.048092
20,Residue,-12.03409,-1.8086782
21,AI,19.36627,13.63257
21,User,-9.923808,-1.4258159
21,Joint,23.502165,15.828819
21,Residue,-11.558979,-1.6804835
22,AI,26.580006,16.44108
22,User,-9.462473,-1.3810129
22,Joint,31.462025,18.653748
22,Residue,-11.274195,-1.7088634
23,AI,35.652344,19.335373
23,User,-8.934203,-1.3936988
23,Joint,41.071224,21.421024
23,Residue,-11.2656,-1.8231786
24,AI,49.829594,22.56699
24,User,-8.083268,-1.216761
24,Joint,56.70172,24.875483
24,Residue,-10.663294,-1.777289
25,AI,61.95871,24.44977
25,User,-6.8252473,-0.9276955
25,Joint,70.63166,27.081266
25,Residue,-10.120497,-1.7433522
26,AI,73.42816,22.418903
26,User,-5.828935,-0.90574074
26,Joint,83.95491,24.80214
26,Residue,-9.263006,-2.0135746
27,AI,84.99604,11.044861
27,User,-4.1654124,-1.1079074
27,Joint,98.046776,12.336342
27,Residue,-8.402543,-2.9031546
28,AI,78.95661,-99.079994
28,User,-7.2683144,-1.6106014
28,Joint,89.0091,-104.11551
28,Residue,-8.29786,-8.7274685
