layer,vector_type,pc1,pc2,pc3
0,AI,-12.80867,-2.6524591,-2.19774
0,User,-12.809294,-2.6506634,-2.1977992
0,Joint,-12.808778,-2.651851,-2.1971319
0,Residue,-12.809501,-2.651267,-2.1976957
1,AI,-12.5142355,-2.400961,-1.9077647
1,User,-12.797732,-2.6588554,-2.202538
1,Joint,-12.48394,-2.371473,-1.9045753
1,Residue,-12.790656,-2.6141958,-2.190376
2,AI,-12.246054,-2.2575583,-1.7259089
2,User,-12.796715,-2.6729825,-2.199194
2,Joint,-12.198776,-2.2178705,-1.7112553
2,Residue,-12.774692,-2.5898693,-2.1822562
3,AI,-11.911347,-2.0872285,-1.4513335
3,User,-12.766668,-2.6668468,-2.1945217
3,Joint,-11.826795,-2.0270786,-1.4220861
3,Residue,-12.767458,-2.575542,-2.1723342
4,AI,-11.571703,-1.7311215,-1.0597153
4,User,-12.734357,-2.671567,-2.1875474
4,Joint,-11.421514,-1.6309454,-0.99987423
4,Residue,-12.734137,-2.5307965,-2.1487157
5,AI,-11.080002,-1.3422068,-0.6202209
5,User,-12.676729,-2.6464453,-2.16472
5,Joint,-10.863955,-1.1911907,-0.5325702
5,Residue,-12.725903,-2.5050802,-2.1437318
6,AI,-10.805213,-1.1923134,-0.41985345
6,User,-12.640146,-2.6543295,-2.1525378
6,Joint,-10.541191,-1.024656,-0.300796
6,Residue,-12.71451,-2.4805524,-2.1245081
7,AI,-10.170602,-0.63714373,0.16499496
7,User,-12.580229,-2.6164913,-2.1357074
7,Joint,-9.787063,-0.3545193,0.3517822
7,Residue,-12.654912,-2.4034252,-2.0736089
8,AI,-9.122418,0.11991441,1.0835222
8,User,-12.484983,-2.5821521,-2.126869
8,Joint,-8.5935755,0.4862464,1.3000716
8,Residue,-12.604858,-2.354056,-2.0526848
9,AI,-8.342603,0.48636246,1.6368849
9,User,-12.382398,-2.5155232,-2.0949416
9,Joint,-7.723921,0.9366967,1.9090172
9,Residue,-12.617603,-2.3366804,-2.0290298
10,AI,-7.6325397,1.012521,2.1291332
10,User,-12.336339,-2.4811826,-2.0870197
10,Joint,-6.970114,1.505842,2.405168
10,Residue,-12.619918,-2.3280344,-2.0330493
11,AI,-7.0043225,1.1450416,2.5281227
11,User,-12.222615,-2.471747,-2.1089253
11,Joint,-6.192834,1.6816002,2.8528748
11,Residue,-12.58458,-2.2942333,-1.962426
12,AI,-6.6463165,1.4013278,2.8556175
12,User,-12.161339,-2.3990533,-2.057502
12,Joint,-5.7454834,2.0553222,3.262815
12,Residue,-12.55651,-2.2494922,-1.9314042
13,AI,-6.409893,1.5406777,3.0204425
13,User,-12.075038,-2.3524342,-2.0480294
13,Joint,-5.366764,2.266376,3.454857
13,Residue,-12.500518,-2.2244067,-1.9136591
14,AI,-6.097498,1.7879008,3.3092577
14,User,-12.025424,-2.317361,-2.0296416
14,Joint,-4.95236,2.6246605,3.7876732
14,Residue,-12.448117,-2.1484184,-1.8880464
15,AI,-4.504336,2.2327619,4.2039647
15,User,-11.93034,-2.3175306,-2.0285459
15,Joint,-3.3709438,3.0266078,4.6404743
15,Residue,-12.554955,-2.191163,-1.9310471
16,AI,-2.681352,3.4333692,5.313001
16,User,-11.598787,-2.0726075,-1.9031792
16,Joint,-1.2127424,4.4632053,5.902206
16,Residue,-12.551289,-2.200095,-1.9037194
17,AI,-2.3026936,3.766889,5.660892
17,User,-11.521839,-2.0076337,-1.9113582
17,Joint,-0.6804602,4.956175,6.3006372
17,Residue,-12.474607,-2.1056209,-1.845001
18,AI,-1.1486784,4.5844097,6.338389
18,User,-11.371801,-1.9531345,-1.9087515
18,Joint,0.7232816,5.892807,7.0464697
18,Residue,-12.374922,-2.0410085,-1.7792697
19,AI,1.5255648,5.9850936,7.7886662
19,User,-10.882647,-1.8143365,-1.7787468
19,Joint,4.064698,7.529479,8.705409
19,Residue,-12.196903,-1.9438168,-1.7006133
20,AI,12.030689,10.221534,11.599763
20,User,-10.570705,-1.6673012,-2.0472693
20,Joint,15.044577,12.048092,12.5805645
20,Residue,-12.03409,-1.8086782,-1.3680359
21,AI,19.36627,13.63257,13.638074
21,User,-9.923808,-1.4258159,-2.2369084
21,Joint,23.502165,15.828819,14.6201515
21,Residue,-11.558979,-1.6804835,-1.1771123
22,AI,26.580006,16.44108,14.7359915
22,User,-9.462473,-1.3810129,-2.842598
22,Joint,31.462025,18.653748,15.059566
22,Residue,-11.274195,-1.7088634,-1.2299323
23,AI,35.652344,19.335373,14.033531
23,User,-8.934203,-1.3936988,-3.6546984
23,Joint,41.071224,21.421024,13.100121
23,Residue,-11.2656,-1.8231786,-1.6748163
24,AI,49.829594,22.56699,12.226437
24,User,-8.083268,-1.216761,-4.5039806
24,Joint,56.70172,24.875483,10.186484
24,Residue,-10.663294,-1.777289,-1.9320703
25,AI,61.95871,24.44977,5.20378
25,User,-6.8252473,-0.9276955,-5.945201
25,Joint,70.63166,27.081266,0.86169136
25,Residue,-10.120497,-1.7433522,-2.792991
26,AI,73.42816,22.418903,-6.941732
26,User,-5.828935,-0.90574074,-7.5546703
26,Joint,83.95491,24.80214,-13.825244
26,Residue,-9.263006,-2.0135746,-3.724948
27,AI,84.99604,11.044861,-25.729612
27,User,-4.1654124,-1.1079074,-10.561879
27,Joint,98.046776,12.336342,-37.21557
27,Residue,-8.402543,-2.9031546,-5.320184
28,AI,78.95661,-99.079994,13.623127
28,User,-7.2683144,-1.6106014,-9.23819
28,Joint,89.0091,-104.11551,5.5245667
28,Residue,-8.29786,-8.7274685,-3.256466
