layer,cosine_sim,residue_norm
0,0.025238883,0.9329922
1,0.20580727,0.90834033
2,0.20198576,0.92000824
3,0.18041995,0.9144029
4,0.17816894,0.9162827
5,0.20021138,0.9072194
6,0.18604441,0.90893376
7,0.24400115,0.90925926
8,0.25131863,0.8997813
9,0.27480206,0.8937849
10,0.30535692,0.89194536
11,0.2997881,0.8780972
12,0.33656073,0.8869187
13,0.35256517,0.8836055
14,0.36205474,0.8763454
15,0.2648275,0.845006
16,0.31302226,0.8673075
17,0.32142732,0.87126046
18,0.34728298,0.8823252
19,0.3743275,0.8887592
20,0.27833083,0.87382776
21,0.3000232,0.88557345
22,0.28847218,0.8864388
23,0.26055908,0.873314
24,0.28658307,0.8853712
25,0.308354,0.8830155
26,0.3216449,0.8873869
27,0.35761833,0.8836187
28,0.2747892,0.8872073
