layer,vector_type,pc1,pc2
0,AI,-11.860211,-2.4122748
0,User,-11.858442,-2.4132326
0,Joint,-11.858198,-2.413294
0,Residue,-11.860231,-2.412641
1,AI,-11.843524,-2.409637
1,User,-11.580727,-2.1501713
1,Joint,-11.555218,-2.1214285
1,Residue,-11.851653,-2.3864756
2,AI,-11.82279,-2.4024885
2,User,-11.3128,-1.9761515
2,Joint,-11.262035,-1.9206766
2,Residue,-11.847134,-2.366891
3,AI,-11.79479,-2.395042
3,User,-11.034986,-1.8135884
3,Joint,-10.961682,-1.7453849
3,Residue,-11.852598,-2.3616095
4,AI,-11.759137,-2.386953
4,User,-10.772649,-1.4956455
4,Joint,-10.661333,-1.3946962
4,Residue,-11.850236,-2.3369548
5,AI,-11.687293,-2.3628216
5,User,-10.379413,-1.1622273
5,Joint,-10.183916,-1.0199162
5,Residue,-11.837896,-2.3197246
6,AI,-11.662538,-2.347711
6,User,-10.16485,-1.0356442
6,Joint,-9.940034,-0.8691016
6,Residue,-11.833334,-2.3106022
7,AI,-11.575767,-2.2884088
7,User,-9.634313,-0.5133791
7,Joint,-9.318544,-0.27514917
7,Residue,-11.829154,-2.298217
8,AI,-11.469274,-2.2296169
8,User,-8.703539,0.16261488
8,Joint,-8.257269,0.48138636
8,Residue,-11.805143,-2.2764678
9,AI,-11.353659,-2.1516051
9,User,-8.058895,0.45952398
9,Joint,-7.51058,0.8453898
9,Residue,-11.818716,-2.2873855
10,AI,-11.281986,-2.1115143
10,User,-7.4491186,0.8872825
10,Joint,-6.816864,1.346692
10,Residue,-11.806442,-2.2539332
11,AI,-11.173976,-2.095556
11,User,-6.873456,1.0510063
11,Joint,-6.1673326,1.5340286
11,Residue,-11.84059,-2.2462783
12,AI,-11.136141,-2.047225
12,User,-6.5706596,1.2711644
12,Joint,-5.8069944,1.8194695
12,Residue,-11.820882,-2.2293258
13,AI,-11.056632,-1.9956095
13,User,-6.3265862,1.4332277
13,Joint,-5.4638715,2.0477016
13,Residue,-11.801346,-2.2147727
14,AI,-10.9784775,-1.9364104
14,User,-5.9502964,1.7127737
14,Joint,-4.936764,2.4413674
14,Residue,-11.728677,-2.1598523
15,AI,-10.9355135,-1.9587451
15,User,-4.623103,2.1351628
15,Joint,-3.781974,2.702408
15,Residue,-11.944044,-2.298865
16,AI,-10.698194,-1.7839713
16,User,-3.2433994,3.1490607
16,Joint,-2.3235202,3.7729175
16,Residue,-12.102612,-2.417027
17,AI,-10.676041,-1.7740426
17,User,-2.8353565,3.386675
17,Joint,-1.7774718,4.0724964
17,Residue,-11.986762,-2.3649929
18,AI,-10.478851,-1.6700869
18,User,-1.6579707,4.229613
18,Joint,-0.37368783,4.995235
18,Residue,-11.957553,-2.389146
19,AI,-10.073195,-1.5211687
19,User,0.8860788,5.6635423
19,Joint,2.5491302,6.4927745
19,Residue,-11.98444,-2.4744546
20,AI,-9.055569,-1.1369922
20,User,10.78971,9.888719
20,Joint,12.796476,10.786882
20,Residue,-12.658354,-2.7896972
21,AI,-8.216437,-0.8288107
21,User,18.29446,13.45538
21,Joint,20.810349,14.357052
21,Residue,-12.988364,-3.0943725
22,AI,-7.6341023,-0.7738447
22,User,25.109821,16.105816
22,Joint,28.104288,16.793276
22,Residue,-13.09212,-3.3635473
23,AI,-6.9683967,-0.7535046
23,User,34.338036,19.082512
23,Joint,37.84488,19.671415
23,Residue,-13.245451,-3.4824426
24,AI,-5.502985,-0.31721908
24,User,47.31839,22.477158
24,Joint,51.898636,23.167435
24,Residue,-13.637454,-3.817352
25,AI,-3.902867,0.10841739
25,User,59.820374,24.758743
25,Joint,66.2661,25.79762
25,Residue,-13.372091,-3.8943903
26,AI,-2.4539423,0.30599967
26,User,72.22333,23.935892
26,Joint,80.32792,25.148859
26,Residue,-13.162136,-3.9178963
27,AI,-0.38365698,-0.10464436
27,User,84.60009,13.820536
27,Joint,95.27836,14.91459
27,Residue,-12.658765,-3.6261563
28,AI,-2.9194055,-7.9404755
28,User,80.110245,-95.35133
28,Joint,87.03111,-101.46897
28,Residue,-13.880414,-3.002005
