layer,vector_type,pc1,pc2,pc3
0,AI,-11.860211,-2.4122748,-1.9753803
0,User,-11.858442,-2.4132326,-1.9750552
0,Joint,-11.858198,-2.413294,-1.9748898
0,Residue,-11.860231,-2.412641,-1.9751949
1,AI,-11.843524,-2.409637,-1.9699287
1,User,-11.580727,-2.1501713,-1.6933837
1,Joint,-11.555218,-2.1214285,-1.6774158
1,Residue,-11.851653,-2.3864756,-1.964844
2,AI,-11.82279,-2.4024885,-1.9529637
2,User,-11.3128,-1.9761515,-1.4980195
2,Joint,-11.262035,-1.9206766,-1.4558289
2,Residue,-11.847134,-2.366891,-1.955586
3,AI,-11.79479,-2.395042,-1.9509096
3,User,-11.034986,-1.8135884,-1.2464552
3,Joint,-10.961682,-1.7453849,-1.1922271
3,Residue,-11.852598,-2.3616095,-1.9456024
4,AI,-11.759137,-2.386953,-1.9416174
4,User,-10.772649,-1.4956455,-0.91505575
4,Joint,-10.661333,-1.3946962,-0.8356547
4,Residue,-11.850236,-2.3369548,-1.9297224
5,AI,-11.687293,-2.3628216,-1.9193364
5,User,-10.379413,-1.1622273,-0.55157816
5,Joint,-10.183916,-1.0199162,-0.447824
5,Residue,-11.837896,-2.3197246,-1.9276499
6,AI,-11.662538,-2.347711,-1.9061857
6,User,-10.16485,-1.0356442,-0.35931027
6,Joint,-9.940034,-0.8691016,-0.2385627
6,Residue,-11.833334,-2.3106022,-1.9238074
7,AI,-11.575767,-2.2884088,-1.8657796
7,User,-9.634313,-0.5133791,0.14683738
7,Joint,-9.318544,-0.27514917,0.2888743
7,Residue,-11.829154,-2.298217,-1.9429247
8,AI,-11.469274,-2.2296169,-1.870651
8,User,-8.703539,0.16261488,0.9499095
8,Joint,-8.257269,0.48138636,1.1193838
8,Residue,-11.805143,-2.2764678,-1.9106162
9,AI,-11.353659,-2.1516051,-1.8349586
9,User,-8.058895,0.45952398,1.4236152
9,Joint,-7.51058,0.8453898,1.6198564
9,Residue,-11.818716,-2.2873855,-1.9195418
10,AI,-11.281986,-2.1115143,-1.8313875
10,User,-7.4491186,0.8872825,1.8064718
10,Joint,-6.816864,1.346692,2.0011013
10,Residue,-11.806442,-2.2539332,-1.9247235
11,AI,-11.173976,-2.095556,-1.843083
11,User,-6.873456,1.0510063,2.2292075
11,Joint,-6.1673326,1.5340286,2.461676
11,Residue,-11.84059,-2.2462783,-1.8751895
12,AI,-11.136141,-2.047225,-1.8060666
12,User,-6.5706596,1.2711644,2.5100977
12,Joint,-5.8069944,1.8194695,2.781858
12,Residue,-11.820882,-2.2293258,-1.8729148
13,AI,-11.056632,-1.9956095,-1.7991965
13,User,-6.3265862,1.4332277,2.703695
13,Joint,-5.4638715,2.0477016,3.0192792
13,Residue,-11.801346,-2.2147727,-1.8359594
14,AI,-10.9784775,-1.9364104,-1.7660581
14,User,-5.9502964,1.7127737,3.057374
14,Joint,-4.936764,2.4413674,3.4536893
14,Residue,-11.728677,-2.1598523,-1.7883673
15,AI,-10.9355135,-1.9587451,-1.7774038
15,User,-4.623103,2.1351628,3.8216956
15,Joint,-3.781974,2.702408,4.055759
15,Residue,-11.944044,-2.298865,-1.9392726
16,AI,-10.698194,-1.7839713,-1.7132776
16,User,-3.2433994,3.1490607,4.7601304
16,Joint,-2.3235202,3.7729175,5.0124555
16,Residue,-12.102612,-2.417027,-1.985139
17,AI,-10.676041,-1.7740426,-1.7526666
17,User,-2.8353565,3.386675,5.1478586
17,Joint,-1.7774718,4.0724964,5.3978205
17,Residue,-11.986762,-2.3649929,-1.948113
18,AI,-10.478851,-1.6700869,-1.7376273
18,User,-1.6579707,4.229613,5.891012
18,Joint,-0.37368783,4.995235,6.1862516
18,Residue,-11.957553,-2.389146,-1.9178746
19,AI,-10.073195,-1.5211687,-1.6730313
19,User,0.8860788,5.6635423,7.3529525
19,Joint,2.5491302,6.4927745,7.7232065
19,Residue,-11.98444,-2.4744546,-1.907459
20,AI,-9.055569,-1.1369922,-2.2293243
20,User,10.78971,9.888719,11.715073
20,Joint,12.796476,10.786882,11.639473
20,Residue,-12.658354,-2.7896972,-1.797015
21,AI,-8.216437,-0.8288107,-2.5748997
21,User,18.29446,13.45538,14.110189
21,Joint,20.810349,14.357052,13.7112255
21,Residue,-12.988364,-3.0943725,-1.7748089
22,AI,-7.6341023,-0.7738447,-3.1481383
22,User,25.109821,16.105816,15.420154
22,Joint,28.104288,16.793276,14.363588
22,Residue,-13.09212,-3.3635473,-1.859167
23,AI,-6.9683967,-0.7535046,-4.1786366
23,User,34.338036,19.082512,15.280399
23,Joint,37.84488,19.671415,13.156781
23,Residue,-13.245451,-3.4824426,-1.8957179
24,AI,-5.502985,-0.31721908,-5.140658
24,User,47.31839,22.477158,14.054539
24,Joint,51.898636,23.167435,10.896933
24,Residue,-13.637454,-3.817352,-1.967689
25,AI,-3.902867,0.10841739,-7.009309
25,User,59.820374,24.758743,7.362468
25,Joint,66.2661,25.79762,1.7433803
25,Residue,-13.372091,-3.8943903,-2.560515
26,AI,-2.4539423,0.30599967,-8.9734
26,User,72.22333,23.935892,-5.2671046
26,Joint,80.32792,25.148859,-13.179083
26,Residue,-13.162136,-3.9178963,-2.8893197
27,AI,-0.38365698,-0.10464436,-12.947012
27,User,84.60009,13.820536,-25.149872
27,Joint,95.27836,14.91459,-37.536575
27,Residue,-12.658765,-3.6261563,-3.390437
28,AI,-2.9194055,-7.9404755,-8.327112
28,User,80.110245,-95.35133,12.639152
28,Joint,87.03111,-101.46897,5.1912155
28,Residue,-13.880414,-3.002005,-3.0715652
