layer,proj_user,neg_norm_user,proj_ai,neg_norm_ai
0,-0.00061013474,-0.014690542,0.005062672,-0.08346753
1,-0.078447096,-0.2892011,0.12552941,-1.5735161
2,-0.14761561,-0.39914662,0.20468123,-2.4171116
3,-0.17816024,-0.54694384,0.26433003,-3.1882343
4,-0.17191526,-0.76774395,0.37298524,-4.3157682
5,-0.17044216,-1.0176643,0.40511522,-5.297895
6,-0.2289757,-1.1298592,0.43113136,-5.6946397
7,-0.20638645,-1.3519256,0.57360476,-7.0491424
8,-0.078144684,-1.883738,0.6755917,-9.242465
9,0.014332014,-2.197421,0.7112859,-10.241359
10,0.1868861,-2.4899464,0.692638,-11.345607
11,0.32798636,-2.8710973,0.7494607,-11.947329
12,0.31371155,-2.893239,0.8134841,-12.413196
13,0.3665975,-3.0433114,0.8660368,-12.701915
14,0.4149368,-3.2922153,0.98128283,-13.228369
15,0.38318858,-3.8295662,0.7105911,-15.10686
16,0.22975373,-4.497974,0.81520045,-17.493332
17,0.3754636,-4.7484837,0.9346988,-17.880356
18,0.3895383,-5.096079,1.1010374,-19.288273
19,0.543533,-6.2793527,1.307613,-22.47885
20,-0.15189491,-10.046448,1.0511152,-34.982708
21,-0.3981998,-12.254626,0.7776391,-43.32956
22,-0.8058625,-14.287486,0.5188767,-50.40375
23,-0.32480294,-17.391472,-0.56350845,-59.374847
24,-1.0347135,-20.33989,-0.42338124,-73.38367
25,-0.6465704,-24.198612,-0.5023735,-85.20945
26,-0.66376454,-27.620676,-0.3922487,-96.40117
27,0.40211314,-32.229454,-0.2646047,-109.004364
28,-2.064373,-32.166927,2.2030158,-139.45345
