layer,cosine_sim,residue_norm
0,-0.16355,0.87382764
1,-0.104748376,0.893108
2,-0.12947854,0.9132846
3,-0.09479399,0.9046939
4,-0.043151367,0.89171696
5,0.04097779,0.8803487
6,0.0513262,0.8832246
7,0.095625386,0.8844183
8,0.13931608,0.8640293
9,0.16952142,0.8541319
10,0.19755393,0.84043056
11,0.21285483,0.823691
12,0.2439235,0.83694905
13,0.264223,0.8363322
14,0.26663592,0.8318177
15,0.23065495,0.8163049
16,0.28755575,0.83347344
17,0.30901742,0.8321819
18,0.32320005,0.8395728
19,0.3460748,0.8402663
20,0.21112162,0.80905837
21,0.229034,0.81695616
22,0.21042569,0.8181047
23,0.17953227,0.79564315
24,0.17690274,0.8091789
25,0.20652524,0.80619264
26,0.20330867,0.80716187
27,0.2423853,0.8052849
28,-0.013979873,0.81040555
