layer,residue_norm,ai_norm,user_norm,joint_norm
0,0.0247351,0.08346753,0.014690542,0.09066747
1,0.38381156,1.5735161,0.2892011,1.7208247
2,0.5468666,2.4171116,0.39914662,2.6310844
3,0.7039066,3.1882343,0.54694384,3.4813035
4,0.9904022,4.3157682,0.76774395,4.781808
5,1.1642771,5.297895,1.0176643,5.903079
6,1.262567,5.6946397,1.1298592,6.352393
7,1.5084895,7.0491424,1.3519256,7.946387
8,1.9764208,9.242465,1.883738,10.484408
9,2.2466698,10.241359,2.197421,11.705711
10,2.3900845,11.345607,2.4899464,12.978613
11,2.6379654,11.947329,2.8710973,13.868484
12,2.7210972,12.413196,2.893239,14.4704685
13,2.8390732,12.701915,3.0433114,14.943904
14,3.0205045,13.228369,3.2922153,15.712091
15,3.2904153,15.10686,3.8295662,17.458584
16,3.6732156,17.493332,4.497974,20.385809
17,3.929613,17.880356,4.7484837,21.146214
18,4.3332047,19.288273,5.096079,22.951384
19,5.4780626,22.47885,6.2793527,27.167076
20,7.817589,34.982708,10.046448,40.059006
21,9.761106,43.32956,12.254626,49.231743
22,11.777939,50.40375,14.287486,56.707516
23,14.378509,59.374847,17.391472,65.781006
24,16.80774,73.38367,20.33989,80.65506
25,19.749804,85.20945,24.198612,94.71568
26,23.33185,96.40117,27.620676,107.56791
27,27.223337,109.004364,32.229454,123.826904
28,23.76347,139.45345,32.166927,146.29724
