layer,vector_type,pc1,pc2,pc3
0,AI,-13.152302,-2.555564,-0.8155073
0,User,-13.152931,-2.5537677,-0.81570065
0,Joint,-13.152378,-2.5549493,-0.8154297
0,Residue,-13.153142,-2.554341,-0.8156149
1,AI,-12.8558445,-2.312352,-0.53136516
1,User,-13.139553,-2.561058,-0.83892643
1,Joint,-12.822739,-2.2825627,-0.54935443
1,Residue,-13.133338,-2.5178776,-0.8104571
2,AI,-12.589624,-2.1760292,-0.32749355
2,User,-13.138438,-2.5751946,-0.8409871
2,Joint,-12.539166,-2.136512,-0.34036005
2,Residue,-13.117101,-2.4940135,-0.8032732
3,AI,-12.25617,-2.0136595,-0.07564527
3,User,-13.106606,-2.5692084,-0.85772526
3,Joint,-12.16653,-1.9544415,-0.097790465
3,Residue,-13.109746,-2.4803002,-0.7958139
4,AI,-11.90982,-1.6669055,0.2790261
4,User,-13.073573,-2.5738573,-0.86664194
4,Joint,-11.752407,-1.5687197,0.25865817
4,Residue,-13.075007,-2.4366817,-0.7851192
5,AI,-11.416912,-1.2886705,0.6838786
5,User,-13.013448,-2.5488975,-0.8816611
5,Joint,-11.189695,-1.1408644,0.65311843
5,Residue,-13.06533,-2.4120214,-0.7804928
6,AI,-11.140127,-1.1431503,0.87845564
6,User,-12.978172,-2.557329,-0.878812
6,Joint,-10.863592,-0.97818935,0.86325645
6,Residue,-13.0512905,-2.3864346,-0.76778096
7,AI,-10.495218,-0.5937551,1.4042726
7,User,-12.915535,-2.519246,-0.8979244
7,Joint,-10.093468,-0.31373823,1.4009452
7,Residue,-12.988707,-2.3094606,-0.7367969
8,AI,-9.437525,0.14691979,2.3011792
8,User,-12.813449,-2.484742,-0.9794041
8,Joint,-8.875196,0.5116769,2.1940608
8,Residue,-12.930209,-2.2592258,-0.75910705
9,AI,-8.65328,0.50380135,2.7613997
9,User,-12.707264,-2.4196672,-1.0088527
9,Joint,-7.9929457,0.95285046,2.6086345
9,Residue,-12.938396,-2.2400095,-0.7753063
10,AI,-7.9371862,1.0132084,3.219925
10,User,-12.6538105,-2.386571,-1.0661285
10,Joint,-7.220316,1.5029745,2.9709907
10,Residue,-12.935314,-2.2323887,-0.8141995
11,AI,-7.32586,1.1356806,3.619244
11,User,-12.531562,-2.3751411,-1.1917955
11,Joint,-6.4482646,1.671946,3.2445168
11,Residue,-12.896836,-2.1973171,-0.81432617
12,AI,-6.9697914,1.3921046,3.9235415
12,User,-12.469575,-2.3050349,-1.1577939
12,Joint,-6.000747,2.0431943,3.6018102
12,Residue,-12.867377,-2.1525998,-0.7953328
13,AI,-6.732312,1.5311248,4.0461116
13,User,-12.382046,-2.2593207,-1.1765144
13,Joint,-5.619169,2.251488,3.699477
13,Residue,-12.810806,-2.1290398,-0.8015138
14,AI,-6.4241753,1.7743084,4.338018
14,User,-12.326802,-2.2237282,-1.2114298
14,Joint,-5.200546,2.6053956,3.9676487
14,Residue,-12.755563,-2.0539093,-0.7903349
15,AI,-4.861676,2.2011216,5.2992334
15,User,-12.215208,-2.2156265,-1.3555694
15,Joint,-3.6277552,2.9994848,4.6922655
15,Residue,-12.856859,-2.0947359,-0.8827925
16,AI,-3.0155735,3.37718,6.1342664
16,User,-11.874941,-1.9754105,-1.3753443
16,Joint,-1.432836,4.409441,5.523808
16,Residue,-12.848315,-2.1010532,-0.86650985
17,AI,-2.6374836,3.7078166,6.3890038
17,User,-11.79413,-1.9093602,-1.4471111
17,Joint,-0.8869168,4.9032593,5.6862745
17,Residue,-12.761296,-2.003923,-0.88701224
18,AI,-1.4740752,4.516775,6.9035892
18,User,-11.633792,-1.8509959,-1.5434003
18,Joint,0.5372838,5.837905,6.147729
18,Residue,-12.660845,-1.9365993,-0.8438532
19,AI,1.2156423,5.868514,8.092828
19,User,-11.130995,-1.7150567,-1.728211
19,Joint,3.9281328,7.4261074,7.0185046
19,Residue,-12.462508,-1.8360747,-0.9775075
20,AI,12.908239,10.429331,12.603785
20,User,-10.325641,-1.5523198,-3.7426343
20,Joint,16.375854,12.195936,9.339428
20,Residue,-12.512734,-1.789794,-1.1531142
21,AI,20.826996,14.094484,14.628175
21,User,-9.560147,-1.3067393,-4.9716296
21,Joint,25.083494,16.008041,9.828406
21,Residue,-12.489352,-1.888433,-1.4595323
22,AI,27.94555,16.756067,15.803259
22,User,-9.044326,-1.2677712,-6.4891953
22,Joint,32.765778,18.610973,9.035778
22,Residue,-12.441441,-1.986052,-1.9096819
23,AI,37.05905,19.508947,16.07765
23,User,-8.413431,-1.3925816,-8.846842
23,Joint,42.18218,21.016655,5.646121
23,Residue,-12.769431,-2.2084308,-3.2160819
24,AI,51.84509,22.727398,16.03548
24,User,-7.3542614,-1.2019782,-10.819863
24,Joint,58.432297,24.484278,2.9819465
24,Residue,-12.364513,-2.149867,-3.865064
25,AI,64.62166,24.6088,11.238946
25,User,-5.6643867,-0.845541,-13.92311
25,Joint,73.29691,26.781841,-6.3975754
25,Residue,-11.966332,-2.090154,-5.3448014
26,AI,76.5691,22.439703,3.2801714
26,User,-4.4693522,-0.8565154,-16.703884
26,Joint,87.018486,24.434507,-18.562006
26,Residue,-11.387239,-2.257397,-6.7696857
27,AI,88.31575,10.723465,-10.279863
27,User,-2.4062748,-0.94361055,-20.912064
27,Joint,101.55404,12.310504,-38.10713
27,Residue,-10.661428,-2.5780668,-8.5466
28,AI,79.74985,-103.872246,19.449747
28,User,-6.578831,-0.8526562,-18.26734
28,Joint,88.147095,-105.951965,-2.8385103
28,Residue,-11.329921,-6.335794,-5.652313
