layer,proj_user,neg_norm_user,proj_ai,neg_norm_ai
0,0.0010117589,-0.036643095,0.00040341003,-0.019135915
1,0.022940895,-0.7470289,0.02163558,-0.3697997
2,0.028130095,-1.1571559,0.055543035,-0.561234
3,0.020726962,-1.5548639,0.04862913,-0.7953934
4,0.10782763,-2.183287,0.1391806,-1.1260175
5,0.17190929,-2.7756462,0.19940826,-1.4747186
6,0.18156357,-2.9200485,0.19192898,-1.5342668
7,0.20912631,-3.6484663,0.2560231,-1.9801044
8,0.32518348,-4.6354523,0.36407062,-2.574061
9,0.5179949,-5.3107157,0.47693974,-3.0792851
10,0.4379178,-5.764198,0.4923907,-3.3217986
11,0.49032417,-6.17065,0.57603705,-3.6898327
12,0.59102815,-6.4797554,0.6312742,-3.7539468
13,0.65438837,-6.549614,0.729359,-3.8743649
14,0.79927605,-7.0827312,0.89398366,-4.2909765
15,0.5265267,-7.692715,0.7690776,-4.6054325
16,0.55832845,-9.067295,0.710524,-5.204924
17,0.582185,-9.202324,0.71890014,-5.354214
18,0.74429375,-9.881942,0.8395389,-5.7810917
19,1.1648709,-12.192086,1.1347568,-7.1802197
20,1.1172758,-17.687475,1.0002912,-10.625907
21,1.8591921,-21.45582,1.6615756,-12.880209
22,2.1158674,-25.121061,1.9186784,-15.364583
23,1.8852993,-29.469238,1.415335,-19.076473
24,1.9512465,-35.546963,2.0082335,-22.152943
25,2.3482711,-39.935722,2.3286426,-26.274857
26,2.4995694,-44.82784,2.835478,-29.55832
27,2.6889405,-50.626858,2.411832,-35.11017
28,2.2194583,-54.703922,3.5976386,-29.77424
