layer,cosine_sim,residue_norm
0,0.5747217,0.90409964
1,0.57175356,0.8673614
2,0.61921155,0.883161
3,0.61614627,0.8720521
4,0.6356574,0.87810445
5,0.67094356,0.88702714
6,0.6369321,0.874171
7,0.6828212,0.88944674
8,0.631885,0.8651847
9,0.65517193,0.8773843
10,0.6252013,0.85826373
11,0.6337968,0.85970855
12,0.64314836,0.8640284
13,0.6407464,0.86320955
14,0.6617745,0.8723501
15,0.59835565,0.83965486
16,0.61550844,0.8504634
17,0.60040176,0.84572643
18,0.6246851,0.85843164
19,0.66406876,0.8768557
20,0.61553854,0.8507347
21,0.633783,0.85824895
22,0.62478113,0.8534688
23,0.6175745,0.8546314
24,0.6192336,0.84805125
25,0.6162946,0.8463804
26,0.6286008,0.85153544
27,0.633827,0.85915864
28,0.67272884,0.8598293
