layer,residue_norm,ai_norm,user_norm,joint_norm
0,0.016292421,0.019135915,0.036643095,0.053571623
1,0.2567255,0.3697997,0.7470289,1.0615478
2,0.40179092,0.561234,1.1571559,1.6574535
3,0.4981871,0.7953934,1.5548639,2.2280638
4,0.7172054,1.1260175,2.183287,3.233998
5,0.8732824,1.4747186,2.7756462,4.204383
6,0.91712254,1.5342668,2.9200485,4.3678536
7,1.1290462,1.9801044,3.6484663,5.559912
8,1.4591738,2.574061,4.6354523,7.0859475
9,1.7653843,3.0792851,5.3107157,8.406528
10,1.817234,3.3217986,5.764198,8.934456
11,1.9825941,3.6898327,6.17065,9.735815
12,2.025046,3.7539468,6.4797554,10.191559
13,2.159356,3.8743649,6.549614,10.455295
14,2.4219236,4.2909765,7.0827312,11.561254
15,2.46196,4.6054325,7.692715,12.001302
16,2.7286174,5.204924,9.067295,13.869796
17,2.876489,5.354214,9.202324,14.113923
18,3.168237,5.7810917,9.881942,15.391658
19,3.9298425,7.1802197,12.192086,19.406538
20,5.184148,10.625907,17.687475,27.290823
21,6.4185104,12.880209,21.45582,33.7688
22,7.6013317,15.364583,25.121061,39.65454
23,9.411707,19.076473,29.469238,46.69482
24,10.290634,22.152943,35.546963,55.3461
25,12.14569,26.274857,39.935722,63.52982
26,13.723475,29.55832,44.82784,71.617905
27,16.646646,35.11017,50.626858,82.26674
28,11.428116,29.77424,54.703922,81.59733
