layer,vector_type,pc1,pc2
0,AI,-8.873094,-0.82036436
0,User,-8.8728285,-0.8208084
0,Joint,-8.872474,-0.82037425
0,Residue,-8.87333,-0.8206397
1,AI,-8.828929,-0.7943695
1,User,-8.758455,-0.7320798
1,Joint,-8.699175,-0.6917807
1,Residue,-8.858572,-0.8067684
2,AI,-8.774599,-0.77287203
2,User,-8.61765,-0.6645021
2,Joint,-8.490709,-0.5894661
2,Residue,-8.845245,-0.7935289
3,AI,-8.701404,-0.76490635
3,User,-8.460589,-0.61729956
3,Joint,-8.2526455,-0.5345923
3,Residue,-8.837439,-0.79382473
4,AI,-8.618407,-0.7179423
4,User,-8.292869,-0.47606164
4,Joint,-7.9819365,-0.32836217
4,Residue,-8.817442,-0.77579534
5,AI,-8.474108,-0.64984554
5,User,-8.050599,-0.31430554
5,Joint,-7.565706,-0.08112383
5,Residue,-8.787783,-0.7584102
6,AI,-8.409752,-0.6491912
6,User,-7.898466,-0.27945164
6,Joint,-7.3383265,-0.051207542
6,Residue,-8.77689,-0.7640027
7,AI,-8.209935,-0.52130663
7,User,-7.581664,-0.03984183
7,Joint,-6.8017344,0.33372444
7,Residue,-8.75692,-0.74656415
8,AI,-7.95975,-0.44641757
8,User,-7.1733074,0.22832105
8,Joint,-6.0631003,0.696769
8,Residue,-8.676826,-0.7265717
9,AI,-7.6764164,-0.3490091
9,User,-6.6874566,0.38091207
9,Joint,-5.255231,1.0068966
9,Residue,-8.638143,-0.6664444
10,AI,-7.5466237,-0.3372357
10,User,-6.4246073,0.50010955
10,Joint,-4.8299136,1.1151915
10,Residue,-8.605467,-0.68911994
11,AI,-7.2295456,-0.28137827
11,User,-6.021434,0.6049957
11,Joint,-4.086118,1.3091792
11,Residue,-8.581919,-0.6558762
12,AI,-7.190039,-0.24741608
12,User,-5.915987,0.68829143
12,Joint,-3.9236383,1.4481399
12,Residue,-8.564394,-0.63417304
13,AI,-7.095065,-0.19358191
13,User,-5.789312,0.7593446
13,Joint,-3.6347237,1.6102124
13,Residue,-8.497127,-0.5969873
14,AI,-6.9319,-0.082087815
14,User,-5.4996634,0.9397238
14,Joint,-3.1072018,1.9735512
14,Residue,-8.4224205,-0.52552366
15,AI,-6.6093116,-0.06913969
15,User,-4.7596807,1.1361766
15,Joint,-2.0778801,2.116729
15,Residue,-8.455668,-0.5917462
16,AI,-6.212342,0.119905055
16,User,-3.9850876,1.608363
16,Joint,-0.93496346,2.7895374
16,Residue,-8.484317,-0.5801686
17,AI,-6.0752735,0.127493
17,User,-3.7699018,1.7310135
17,Joint,-0.49984908,2.9161646
17,Residue,-8.401454,-0.5837791
18,AI,-5.7203403,0.273058
18,User,-3.1066842,2.0271308
18,Joint,0.6722816,3.4143033
18,Residue,-8.247478,-0.52732337
19,AI,-4.6354012,0.6441036
19,User,-1.3720795,2.9032075
19,Joint,3.850815,4.725705
19,Residue,-7.8884864,-0.46304363
20,AI,-1.8127205,1.2104747
20,User,3.754351,4.574061
20,Joint,12.011694,6.9511194
20,Residue,-7.676721,-0.47485483
21,AI,0.21852179,1.7542248
21,User,7.348543,5.9113703
21,Joint,18.241852,8.927918
21,Residue,-7.0719976,-0.37911272
22,AI,2.4323983,2.019476
22,User,11.290878,6.902355
22,Joint,24.982658,10.226088
22,Residue,-6.487408,-0.3371824
23,AI,5.396667,2.171287
23,User,16.179111,7.7452545
23,Joint,33.1526,11.339469
23,Residue,-6.1699643,-0.21850616
24,AI,8.528499,2.4355667
24,User,22.232607,8.433383
24,Joint,42.795235,12.018183
24,Residue,-5.7126594,-0.4922017
25,AI,11.9357395,2.0096457
25,User,27.336006,8.00461
25,Joint,52.00807,11.079533
25,Residue,-5.0104613,-0.57615995
26,AI,14.802422,1.2716812
26,User,32.36295,6.6246367
26,Joint,60.514168,8.785893
26,Residue,-4.397993,-0.7518599
27,AI,18.38098,-2.3949707
27,User,37.080307,-0.0081448555
27,Joint,69.44188,-1.4507618
27,Residue,-3.766184,-0.6890874
28,AI,7.44468,-20.063854
28,User,18.716213,-44.557083
28,Joint,38.07244,-66.4358
28,Residue,-5.8352365,-3.456296
