layer,vector_type,pc1,pc2,pc3
0,AI,-8.873094,-0.82036436,-1.2998524
0,User,-8.8728285,-0.8208084,-1.2990549
0,Joint,-8.872474,-0.82037425,-1.2988836
0,Residue,-8.87333,-0.8206397,-1.2996109
1,AI,-8.828929,-0.7943695,-1.2869995
1,User,-8.758455,-0.7320798,-1.1371546
1,Joint,-8.699175,-0.6917807,-1.1043844
1,Residue,-8.858572,-0.8067684,-1.2798655
2,AI,-8.774599,-0.77287203,-1.2508376
2,User,-8.61765,-0.6645021,-1.0215974
2,Joint,-8.490709,-0.5894661,-0.90929294
2,Residue,-8.845245,-0.7935289,-1.2364925
3,AI,-8.701404,-0.76490635,-1.2594929
3,User,-8.460589,-0.61729956,-0.91144776
3,Joint,-8.2526455,-0.5345923,-0.8138595
3,Residue,-8.837439,-0.79382473,-1.242554
4,AI,-8.618407,-0.7179423,-1.1791444
4,User,-8.292869,-0.47606164,-0.6257796
4,Joint,-7.9819365,-0.32836217,-0.43447542
4,Residue,-8.817442,-0.77579534,-1.229186
5,AI,-8.474108,-0.64984554,-1.1049153
5,User,-8.050599,-0.31430554,-0.31036618
5,Joint,-7.565706,-0.08112383,-0.019289121
5,Residue,-8.787783,-0.7584102,-1.2036421
6,AI,-8.409752,-0.6491912,-1.1680796
6,User,-7.898466,-0.27945164,-0.2740994
6,Joint,-7.3383265,-0.051207542,-0.07084471
6,Residue,-8.77689,-0.7640027,-1.2283002
7,AI,-8.209935,-0.52130663,-0.992586
7,User,-7.581664,-0.03984183,0.12448412
7,Joint,-6.8017344,0.33372444,0.51133794
7,Residue,-8.75692,-0.74656415,-1.2201947
8,AI,-7.95975,-0.44641757,-1.0161481
8,User,-7.1733074,0.22832105,0.66252464
8,Joint,-6.0631003,0.696769,1.0269989
8,Residue,-8.676826,-0.7265717,-1.2190123
9,AI,-7.6764164,-0.3490091,-0.9241407
9,User,-6.6874566,0.38091207,0.99267703
9,Joint,-5.255231,1.0068966,1.5627158
9,Residue,-8.638143,-0.6664444,-1.1054556
10,AI,-7.5466237,-0.3372357,-0.99810195
10,User,-6.4246073,0.50010955,1.2891824
