layer,cos_res_ai,cos_res_user,cos_res_joint
0,0.024760611355304718,0.062099993228912354,0.35544511675834656
1,0.08427514880895615,0.08935962617397308,0.33408260345458984
2,0.13823868334293365,0.07001178711652756,0.3381027579307556
3,0.09761218726634979,0.041604772210121155,0.28747689723968506
4,0.1940595954656601,0.1503441482782364,0.3908365070819855
5,0.2283434271812439,0.19685417413711548,0.4177597761154175
6,0.20927301049232483,0.1979708969593048,0.4158307611942291
7,0.22676055133342743,0.18522387742996216,0.40537306666374207
8,0.24950464069843292,0.22285452485084534,0.4423467516899109
9,0.2701619565486908,0.29341763257980347,0.4943239092826843
10,0.2709561288356781,0.2409803867340088,0.4596087336540222
11,0.29054710268974304,0.2473144233226776,0.4705055356025696
12,0.3117332458496094,0.29185909032821655,0.4990847408771515
13,0.3377668857574463,0.30304795503616333,0.5215381383895874
14,0.36912134289741516,0.33001700043678284,0.5486633777618408
15,0.3123842477798462,0.21386483311653137,0.4621020257472992
16,0.2603971064090729,0.20461954176425934,0.42821910977363586
17,0.24992278218269348,0.20239432156085968,0.43057680130004883
18,0.26498615741729736,0.23492364585399628,0.45619821548461914
19,0.2887537479400635,0.29641667008399963,0.4955596327781677
20,0.19295190274715424,0.21551771461963654,0.40476614236831665
21,0.25887247920036316,0.2896610200405121,0.4728553295135498
22,0.25241345167160034,0.27835482358932495,0.46582627296447754
23,0.15038028359413147,0.20031429827213287,0.38941240310668945
24,0.19515156745910645,0.18961380422115326,0.38582685589790344
25,0.19172580540180206,0.1933419108390808,0.3920128643512726
26,0.206615149974823,0.18213820457458496,0.3909013569355011
27,0.14488394558429718,0.16153044998645782,0.3635895550251007
28,0.31480589509010315,0.19421035051345825,0.3851264715194702
