layer,proj_user,neg_norm_user,proj_ai,neg_norm_ai
0,0.0073020235,-0.009469503,-0.0030232663,-0.06361873
1,0.07908494,-0.20138033,-0.064972356,-1.2714763
2,0.11260529,-0.2736898,-0.13966103,-2.0022616
3,0.13631715,-0.38757017,-0.19717172,-2.7550688
4,0.20500517,-0.53070045,-0.26230332,-3.8002927
5,0.24326785,-0.6829168,-0.3517215,-4.8875847
6,0.27275532,-0.7279839,-0.32290703,-5.1829925
7,0.37081158,-0.88021153,-0.34700137,-6.2665563
8,0.55203307,-1.2601044,-0.44615737,-8.277403
9,0.6061163,-1.4916519,-0.38157326,-9.421006
10,0.81838924,-1.7306436,-0.48115966,-10.355459
11,0.95435864,-1.9631143,-0.4786398,-11.073443
12,0.9349357,-1.9671768,-0.5113554,-11.54303
13,0.9912715,-2.0591428,-0.56106937,-11.767572
14,1.0673618,-2.2774234,-0.5941538,-12.3530655
15,1.2226027,-2.6199968,-0.9073894,-13.853397
16,1.1430436,-2.8976393,-1.0628244,-16.076769
17,1.2398112,-3.0683064,-1.012084,-16.473545
18,1.2945343,-3.2061398,-0.9918467,-17.82403
19,1.7108742,-3.761434,-0.9239376,-21.36702
20,2.4943144,-5.420065,-1.608651,-32.498806
21,3.0258446,-6.4592156,-1.7107767,-39.159298
22,3.6871552,-7.842196,-1.8927215,-45.331043
23,4.404262,-9.827409,-2.659829,-52.6945
24,5.1900625,-11.265263,-3.056234,-63.961567
25,6.4500003,-13.415854,-3.393556,-71.72665
26,7.5079927,-15.190694,-3.8177745,-79.92307
27,8.63196,-17.866581,-4.357564,-89.52743
28,9.578723,-15.553683,-6.504444,-97.14948
