layer,cosine_sim,residue_norm
0,-0.28076524,0.79053384
1,-0.25248185,0.8088177
2,-0.28653258,0.83872676
3,-0.26359963,0.83764255
4,-0.22427905,0.83099806
5,-0.1404098,0.8278118
6,-0.22242913,0.8298467
7,-0.16343968,0.81855905
8,-0.13858387,0.7975008
9,-0.10256593,0.7955513
10,-0.10979804,0.7715041
11,-0.03387988,0.7587298
12,-0.053438254,0.76752734
13,-0.040184908,0.7611956
14,-0.0058206767,0.75427747
15,-0.025761705,0.74255854
16,-0.0012053382,0.7640143
17,0.004708849,0.7577631
18,0.013108827,0.7672947
19,0.05641913,0.7688267
20,0.010359035,0.7695525
21,0.041567694,0.77385074
22,0.05122903,0.7662186
23,0.06465753,0.7533734
24,0.05960968,0.7620423
25,0.086438455,0.7489525
26,0.09638969,0.74498063
27,0.118450604,0.7403949
28,-0.09460902,0.7407119
