layer,residue_norm,ai_norm,user_norm,joint_norm
0,0.019439178,0.06361873,0.009469503,0.06269154
1,0.27056175,1.2714763,0.20138033,1.2115048
2,0.40146673,2.0022616,0.2736898,1.8529589
3,0.52703756,2.7550688,0.38757017,2.544537
4,0.7441933,3.8002927,0.53070045,3.5492206
5,0.9303682,4.8875847,0.6829168,4.601875
6,0.98183024,5.1829925,0.7279839,4.8712144
7,1.1722336,6.2665563,0.88021153,5.993278
8,1.5458521,8.277403,1.2601044,7.975408
9,1.7801493,9.421006,1.4916519,9.267431
10,1.9951086,10.355459,1.7306436,10.155936
11,2.2144806,11.073443,1.9631143,11.092907
12,2.2289512,11.54303,1.9671768,11.468472
13,2.3377938,11.767572,2.0591428,11.709448
14,2.5478706,12.3530655,2.2774234,12.4149685
15,2.870558,13.853397,2.6199968,13.653444
16,3.0746307,16.076769,2.8976393,15.768657
17,3.2481093,16.473545,3.0683064,16.312002
18,3.4561164,17.82403,3.2061398,17.730255
19,4.096289,21.36702,3.761434,21.67795
20,5.5122547,32.498806,5.420065,32.28101
21,6.6364675,39.159298,6.4592156,39.310894
22,8.069964,45.331043,7.842196,45.871372
23,9.878434,52.6945,9.827409,53.32997
24,11.3200655,63.961567,11.265263,64.48261
25,13.289071,71.72665,13.415854,73.17035
26,15.2196665,79.92307,15.190694,81.8657
27,17.88047,89.52743,17.866581,92.52689
28,14.443329,97.14948,15.553683,92.93436
