layer,vector_type,pc1,pc2
0,AI,-10.309433,-0.7654149
0,User,-10.309935,-0.76515543
0,Joint,-10.30994,-0.76546013
0,Residue,-10.310181,-0.76526487
1,AI,-10.072697,-0.60133696
1,User,-10.306885,-0.7759235
1,Joint,-10.079964,-0.6166086
1,Residue,-10.31999,-0.76972365
2,AI,-9.804337,-0.49539456
2,User,-10.312057,-0.77996105
2,Joint,-9.828777,-0.5210092
2,Residue,-10.331992,-0.77602863
3,AI,-9.483444,-0.39304024
3,User,-10.306306,-0.78728396
3,Joint,-9.531346,-0.43821862
3,Residue,-10.361204,-0.78826934
4,AI,-9.125557,-0.14835975
4,User,-10.3013,-0.8002955
4,Joint,-9.198972,-0.23469198
4,Residue,-10.391727,-0.8164121
5,AI,-8.560697,0.15946028
5,User,-10.287328,-0.8091452
5,Joint,-8.66008,0.03743434
5,Residue,-10.4316635,-0.8432559
6,AI,-8.262465,0.2221936
6,User,-10.2912445,-0.83109766
6,Joint,-8.354857,0.09285718
6,Residue,-10.420759,-0.82861394
7,AI,-7.6171374,0.52919716
7,User,-10.260031,-0.8137678
7,Joint,-7.6880975,0.4232564
7,Residue,-10.430536,-0.82254815
8,AI,-6.5742636,1.1047058
8,User,-10.233121,-0.8304348
8,Joint,-6.650568,0.95815635
8,Residue,-10.462794,-0.8464894
9,AI,-5.6485896,1.3811148
9,User,-10.211041,-0.8255068
9,Joint,-5.7357073,1.2645305
9,Residue,-10.495688,-0.821453
10,AI,-4.9981136,1.6959171
10,User,-10.219822,-0.8433645
10,Joint,-5.1107173,1.5039773
10,Residue,-10.512396,-0.87895054
11,AI,-4.164932,1.8263026
11,User,-10.128483,-0.8495103
11,Joint,-4.216741,1.6628515
11,Residue,-10.542936,-0.84431666
12,AI,-3.8480918,1.9683156
12,User,-10.135994,-0.83399856
12,Joint,-3.9325216,1.8158115
12,Residue,-10.568046,-0.8488809
13,AI,-3.575824,2.0749006
13,User,-10.0956745,-0.81952566
13,Joint,-3.6071393,1.9390793
13,Residue,-10.555252,-0.8466717
14,AI,-3.1617785,2.2617123
14,User,-10.066169,-0.7959688
14,Joint,-3.1706514,2.1738768
14,Residue,-10.562315,-0.8222426
15,AI,-1.6044273,2.5590324
15,User,-10.031166,-0.83075964
15,Joint,-1.7448184,2.3657131
15,Residue,-10.728835,-0.89293414
16,AI,0.10384261,3.3459325
16,User,-9.9265,-0.7889009
16,Joint,-0.041588433,3.1303732
16,Residue,-10.83854,-0.95703346
17,AI,0.5189677,3.601762
17,User,-9.891503,-0.8016592
17,Joint,0.43850848,3.385425
17,Residue,-10.808566,-0.94505286
18,AI,1.8241904,4.1370087
18,User,-9.865309,-0.79678106
18,Joint,1.7705098,3.9225614
18,Residue,-10.80798,-0.9480415
19,AI,4.879623,5.3713784
19,User,-9.702754,-0.8037594
19,Joint,4.985198,5.1300664
19,Residue,-10.811281,-0.96792775
20,AI,15.808924,8.287731
20,User,-9.527476,-0.92669904
20,Joint,15.627908,7.7535553
20,Residue,-11.2731495,-1.1378522
21,AI,22.668678,10.334007
21,User,-9.277088,-0.9269339
21,Joint,22.69756,9.710201
21,Residue,-11.313641,-1.227248
22,AI,29.403877,11.696891
22,User,-8.9858,-1.0091041
22,Joint,29.693466,11.031539
22,Residue,-11.344221,-1.1866225
23,AI,37.444115,12.739538
23,User,-8.622878,-1.2069522
23,Joint,37.73222,11.824533
23,Residue,-11.708632,-1.2384276
24,AI,49.60713,13.621611
24,User,-8.272495,-1.1863906
24,Joint,49.90171,12.618075
24,Residue,-12.052525,-1.3475218
25,AI,58.363228,12.723448
25,User,-7.701223,-1.3085086
25,Joint,59.024487,11.615756
25,Residue,-12.25712,-1.3295641
26,AI,66.79782,9.670324
26,User,-7.3567176,-1.4345781
26,Joint,67.60884,8.4289665
26,Residue,-12.451863,-1.3371526
27,AI,74.165665,-1.3515944
27,User,-6.584469,-1.6911213
27,Joint,75.74326,-2.059097
27,Residue,-12.457558,-0.5467534
28,AI,40.6768,-81.51162
28,User,-7.985146,-0.02122268
28,Joint,41.623158,-75.96304
28,Residue,-11.6881075,4.0394216
